PDB_ID	RELEASE_DATE	SELECTED_SOURCE	REVISION_ORDINAL	REVISION_DATE	LEGACY_ORIGINAL_DATE	SOURCES_AGREE
10ZT	2026-05-27	_pdbx_audit_revision_history.revision_date	1	2026-05-27		
10ZU	2026-05-27	_pdbx_audit_revision_history.revision_date	1	2026-05-27		
11AG	2026-05-27	_pdbx_audit_revision_history.revision_date	1	2026-05-27		
11EH	2026-05-27	_pdbx_audit_revision_history.revision_date	1	2026-05-27		
12CI	2026-05-13	_pdbx_audit_revision_history.revision_date	1	2026-05-13		
12CJ	2026-05-13	_pdbx_audit_revision_history.revision_date	1	2026-05-13		
157D	1994-05-31	_pdbx_audit_revision_history.revision_date	1	1994-05-31		
165D	1994-08-31	_pdbx_audit_revision_history.revision_date	1	1994-08-31		
17RA	1999-04-20	_pdbx_audit_revision_history.revision_date	1	1999-04-20		
1A3M	1998-04-29	_pdbx_audit_revision_history.revision_date	1	1998-04-29		
1A4D	1998-04-29	_pdbx_audit_revision_history.revision_date	1	1998-04-29		
1A51	1998-05-27	_pdbx_audit_revision_history.revision_date	1	1998-05-27		
1A60	1998-05-27	_pdbx_audit_revision_history.revision_date	1	1998-05-27		
1A9L	1998-06-17	_pdbx_audit_revision_history.revision_date	1	1998-06-17		
1AFX	1997-05-15	_pdbx_audit_revision_history.revision_date	1	1997-05-15		
1AJF	1997-07-07	_pdbx_audit_revision_history.revision_date	1	1997-07-07		
1AJL	1997-07-07	_pdbx_audit_revision_history.revision_date	1	1997-07-07		
1AJT	1997-08-20	_pdbx_audit_revision_history.revision_date	1	1997-08-20		
1AJU	1997-12-17	_pdbx_audit_revision_history.revision_date	1	1997-12-17		
1AKX	1997-11-19	_pdbx_audit_revision_history.revision_date	1	1997-11-19		
1AL5	1997-12-17	_pdbx_audit_revision_history.revision_date	1	1997-12-17		
1AM0	1997-07-23	_pdbx_audit_revision_history.revision_date	1	1997-07-23		
1ANR	1997-01-11	_pdbx_audit_revision_history.revision_date	1	1997-01-11		
1AQO	1998-02-04	_pdbx_audit_revision_history.revision_date	1	1998-02-04		
1ARJ	1996-11-08	_pdbx_audit_revision_history.revision_date	1	1996-11-08		
1ATO	1997-11-12	_pdbx_audit_revision_history.revision_date	1	1997-11-12		
1ATV	1998-02-25	_pdbx_audit_revision_history.revision_date	1	1998-02-25		
1ATW	1998-02-25	_pdbx_audit_revision_history.revision_date	1	1998-02-25		
1B36	1998-12-23	_pdbx_audit_revision_history.revision_date	1	1998-12-23		
1BAU	1999-04-27	_pdbx_audit_revision_history.revision_date	1	1999-04-27		
1BGZ	1999-01-13	_pdbx_audit_revision_history.revision_date	1	1999-01-13		
1BJ2	1999-02-02	_pdbx_audit_revision_history.revision_date	1	1999-02-02		
1BN0	1999-04-27	_pdbx_audit_revision_history.revision_date	1	1999-04-27		
1BVJ	1998-12-09	_pdbx_audit_revision_history.revision_date	1	1998-12-09		
1BYJ	1999-10-29	_pdbx_audit_revision_history.revision_date	1	1999-10-29		
1BZ2	1999-04-27	_pdbx_audit_revision_history.revision_date	1	1999-04-27		
1BZ3	1999-04-27	_pdbx_audit_revision_history.revision_date	1	1999-04-27		
1BZT	1999-04-27	_pdbx_audit_revision_history.revision_date	1	1999-04-27		
1BZU	1999-04-27	_pdbx_audit_revision_history.revision_date	1	1999-04-27		
1C0O	1999-08-31	_pdbx_audit_revision_history.revision_date	1	1999-08-31		
1C2W	2000-04-10	_pdbx_audit_revision_history.revision_date	1	2000-04-10		
1C2X	2000-04-10	_pdbx_audit_revision_history.revision_date	1	2000-04-10		
1C4L	2000-08-09	_pdbx_audit_revision_history.revision_date	1	2000-08-09		
1CQ5	1999-08-23	_pdbx_audit_revision_history.revision_date	1	1999-08-23		
1CQL	2000-01-14	_pdbx_audit_revision_history.revision_date	1	2000-01-14		
1CSL	2000-02-14	_pdbx_audit_revision_history.revision_date	1	2000-02-14		
1D0T	2000-05-24	_pdbx_audit_revision_history.revision_date	1	2000-05-24		
1D0U	2000-05-24	_pdbx_audit_revision_history.revision_date	1	2000-05-24		
1D4R	1999-12-02	_pdbx_audit_revision_history.revision_date	1	1999-12-02		
1DDY	2000-01-01	_pdbx_audit_revision_history.revision_date	1	2000-01-01		
1DQF	2000-11-13	_pdbx_audit_revision_history.revision_date	1	2000-11-13		
1DQH	2000-11-13	_pdbx_audit_revision_history.revision_date	1	2000-11-13		
1DUH	2000-05-08	_pdbx_audit_revision_history.revision_date	1	2000-05-08		
1DUQ	2000-05-16	_pdbx_audit_revision_history.revision_date	1	2000-05-16		
1E4P	2001-01-16	_pdbx_audit_revision_history.revision_date	1	2001-01-16		
1E95	2001-08-23	_pdbx_audit_revision_history.revision_date	1	2001-08-23		
1EBQ	1997-07-07	_pdbx_audit_revision_history.revision_date	1	1997-07-07		
1EBR	1997-07-07	_pdbx_audit_revision_history.revision_date	1	1997-07-07		
1EBS	1997-07-07	_pdbx_audit_revision_history.revision_date	1	1997-07-07		
1EHT	1997-12-24	_pdbx_audit_revision_history.revision_date	1	1997-12-24		
1EHZ	2000-10-02	_pdbx_audit_revision_history.revision_date	1	2000-10-02		
1EI2	2000-03-06	_pdbx_audit_revision_history.revision_date	1	2000-03-06		
1EKA	2000-11-13	_pdbx_audit_revision_history.revision_date	1	2000-11-13		
1EKD	2000-11-13	_pdbx_audit_revision_history.revision_date	1	2000-11-13		
1ELH	1994-01-31	_pdbx_audit_revision_history.revision_date	1	1994-01-31		
1ESH	2000-04-24	_pdbx_audit_revision_history.revision_date	1	2000-04-24		
1ESY	2000-05-31	_pdbx_audit_revision_history.revision_date	1	2000-05-31		
1ET4	2000-11-13	_pdbx_audit_revision_history.revision_date	1	2000-11-13		
1EVV	2000-05-01	_pdbx_audit_revision_history.revision_date	1	2000-05-01		
1F1T	2000-09-04	_pdbx_audit_revision_history.revision_date	1	2000-09-04		
1F27	2000-06-12	_pdbx_audit_revision_history.revision_date	1	2000-06-12		
1F5G	2000-06-26	_pdbx_audit_revision_history.revision_date	1	2000-06-26		
1F5H	2000-06-26	_pdbx_audit_revision_history.revision_date	1	2000-06-26		
1F5U	2000-08-21	_pdbx_audit_revision_history.revision_date	1	2000-08-21		
1F6X	2000-10-09	_pdbx_audit_revision_history.revision_date	1	2000-10-09		
1F6Z	2000-10-09	_pdbx_audit_revision_history.revision_date	1	2000-10-09		
1F78	2000-10-09	_pdbx_audit_revision_history.revision_date	1	2000-10-09		
1F79	2000-10-09	_pdbx_audit_revision_history.revision_date	1	2000-10-09		
1F7F	2000-10-09	_pdbx_audit_revision_history.revision_date	1	2000-10-09		
1F7G	2000-10-09	_pdbx_audit_revision_history.revision_date	1	2000-10-09		
1F7H	2000-10-09	_pdbx_audit_revision_history.revision_date	1	2000-10-09		
1F7I	2000-10-09	_pdbx_audit_revision_history.revision_date	1	2000-10-09		
1F84	2000-11-17	_pdbx_audit_revision_history.revision_date	1	2000-11-17		
1F85	2000-11-17	_pdbx_audit_revision_history.revision_date	1	2000-11-17		
1F9L	2000-07-26	_pdbx_audit_revision_history.revision_date	1	2000-07-26		
1FCW	2000-08-11	_pdbx_audit_revision_history.revision_date	1	2000-08-11		
1FEQ	2000-11-22	_pdbx_audit_revision_history.revision_date	1	2000-11-22		
1FG0	2000-08-28	_pdbx_audit_revision_history.revision_date	1	2000-08-28		
1FHK	2001-03-21	_pdbx_audit_revision_history.revision_date	1	2001-03-21		
1FIR	2001-01-17	_pdbx_audit_revision_history.revision_date	1	2001-01-17		
1FL8	2000-10-16	_pdbx_audit_revision_history.revision_date	1	2000-10-16		
1FMN	1996-07-11	_pdbx_audit_revision_history.revision_date	1	1996-07-11		
1FOQ	2000-12-22	_pdbx_audit_revision_history.revision_date	1	2000-12-22		
1FQZ	2001-01-17	_pdbx_audit_revision_history.revision_date	1	2001-01-17		
1FUF	2001-11-09	_pdbx_audit_revision_history.revision_date	1	2001-11-09		
1FYO	2001-03-14	_pdbx_audit_revision_history.revision_date	1	2001-03-14		
1FYP	2001-03-14	_pdbx_audit_revision_history.revision_date	1	2001-03-14		
1G2J	2000-12-06	_pdbx_audit_revision_history.revision_date	1	2000-12-06		
1G3A	2001-08-01	_pdbx_audit_revision_history.revision_date	1	2001-08-01		
1GID	1996-12-31	_pdbx_audit_revision_history.revision_date	1	1996-12-31		
1GRZ	1998-11-24	_pdbx_audit_revision_history.revision_date	1	1998-11-24		
1GUC	1997-02-12	_pdbx_audit_revision_history.revision_date	1	1997-02-12		
1H0Q	2003-07-17	_pdbx_audit_revision_history.revision_date	1	2003-07-17		
1H1K	2002-09-26	_pdbx_audit_revision_history.revision_date	1	2002-09-26		
1HLX	1995-09-15	_pdbx_audit_revision_history.revision_date	1	1995-09-15		
1HR2	2001-04-12	_pdbx_audit_revision_history.revision_date	1	2001-04-12		
1HS1	2003-09-02	_pdbx_audit_revision_history.revision_date	1	2003-09-02		
1HS2	2001-08-29	_pdbx_audit_revision_history.revision_date	1	2001-08-29		
1HS3	2003-09-02	_pdbx_audit_revision_history.revision_date	1	2003-09-02		
