PDB_ID	CIF_PATH	FILE_SIZE_BYTES	SHA256	EXCLUDED
10ZT	/storage9920/home/tinghao.xia/pdb_data/10zt.cif	287221	7afd7ab0204c7fe6e0c9262589c1e6549a8bef1d72a8bfb0fefe9014c1fd1868	False
10ZU	/storage9920/home/tinghao.xia/pdb_data/10zu.cif	285168	9a12513f9a32d108d82a361acae09f389cc763f25b6be9bccc7d49843bed856b	False
11AG	/storage9920/home/tinghao.xia/pdb_data/11ag.cif	537902	46cd13690815dd781961b40b96d615ab5c4efe8a8d852b6e7a6b748458ddc2ee	False
11EH	/storage9920/home/tinghao.xia/pdb_data/11eh.cif	284387	2c6d543da9ff785eb68e1037c688253e67f81ae46cdb52c2e646dd697e53384d	False
12CI	/storage9920/home/tinghao.xia/pdb_data/12ci.cif	735971	0b7b3b00741568e2e5d5970047925f414bbca4e82af0b180072789f4700caf20	False
12CJ	/storage9920/home/tinghao.xia/pdb_data/12cj.cif	468696	7f6567dc1a8f1e750b8fda644490cdd60deff67a355f7454602121ef0051afba	False
157D	/storage9920/home/tinghao.xia/pdb_data/157d.cif	103397	25b31bd3ff2ec08aded8314fde1d2b954ec1bac24088618b640cd5c891fc9f86	False
165D	/storage9920/home/tinghao.xia/pdb_data/165d.cif	88994	25026136b387897754287789a996c4710daa730974e78130a77c1aa648e58ea8	False
176D	/storage9920/home/tinghao.xia/pdb_data/176d.cif	400288	d2b92b657ede7a153508a34074f144fc3514010dd85bcb736c4e0bf4df75871d	True
17RA	/storage9920/home/tinghao.xia/pdb_data/17ra.cif	741619	8a07300efd3bc952d43ed208abdb2b0537ed090a372c4b1eb01131f5358af04e	False
1A3M	/storage9920/home/tinghao.xia/pdb_data/1a3m.cif	2016367	33f2c6d86e88951633350a80d8e5f6d2c9617aec4bfe821e41b1b7c582619426	False
1A4D	/storage9920/home/tinghao.xia/pdb_data/1a4d.cif	153194	c6a68dbf1bbac7fb4e037d326b443d5ade4e993cbedbf84389b42900fca0dbff	False
1A51	/storage9920/home/tinghao.xia/pdb_data/1a51.cif	1079146	b23d1c50a8af9789e9d645da7e0a1080bed4b4242489a9225fe805dc02f260eb	False
