section	group	n_total	n_valid	n_excluded_or_missing	coverage_percent	median_rmsd_A	q25_rmsd_A	q75_rmsd_A	iqr_rmsd_A	mean_rmsd_A	p90_rmsd_A	max_rmsd_A	rmsd_le_2A_percent_of_valid	rmsd_le_5A_percent_of_valid	rmsd_le_10A_percent_of_valid	rmsd_le_20A_percent_of_valid
Overall	All targets	2199	2167	32	98.54479308776716	3.479	1.0545	12.190000000000001	11.1355	8.632405168435625	23.706000000000003	342.239	34.93308721735118	58.14490078449469	70.8814028610983	85.92524227041993
Time	Post-cutoff (>2021-09-30)	625	620	5	99.2	10.6055	3.7135000000000002	19.544	15.8305	14.418464516129033	34.5582	96.996	13.064516129032258	32.41935483870968	47.90322580645161	75.64516129032258
RNA length	1-20 nt	338	326	12	96.44970414201184	2.1795	1.11225	4.1825	3.07025	3.7222576687116566	10.5555	16.369	44.47852760736196	79.14110429447852	88.95705521472392	100.0
RNA length	21-50 nt	803	799	4	99.50186799501869	2.932	0.7565	6.032	5.2755	4.614889862327909	11.782400000000004	37.703	39.17396745932415	69.46182728410513	87.85982478097623	96.37046307884856
RNA length	51-100 nt	427	419	8	98.1264637002342	2.666	0.493	11.404499999999999	10.911499999999998	6.924861575178997	20.3954	37.297	43.67541766109785	60.62052505966587	71.83770883054893	89.26014319809069
RNA length	101-200 nt	291	289	2	99.3127147766323	16.242	2.008	23.465	21.457	14.111484429065744	28.5582	51.654	24.91349480968858	36.332179930795846	41.86851211072664	63.667820069204154
RNA length	>200 nt	340	334	6	98.23529411764706	13.7655	4.52225	29.735500000000002	25.213250000000002	20.436925149700603	44.140499999999996	342.239	13.17365269461078	26.34730538922156	36.52694610778443	62.27544910179641
RNA chain count	1	1187	1175	12	98.98904802021904	3.324	1.4715	7.8025	6.331	6.287970212765957	14.4204	55.607	31.06382978723404	63.829787234042556	80.25531914893617	94.63829787234043
RNA chain count	2	697	690	7	98.99569583931134	1.867	0.5654999999999999	15.36475	14.79925	8.939992753623187	28.6304	60.933	50.289855072463766	64.6376811594203	70.57971014492753	77.97101449275362
RNA chain count	3	73	68	5	93.15068493150685	16.3155	4.2395	19.811249999999998	15.571749999999998	13.731573529411767	23.7954	36.491	22.058823529411764	26.47058823529412	27.941176470588236	75.0
RNA chain count	4	164	160	4	97.5609756097561	10.798	5.61125	18.204250000000002	12.593000000000002	13.17014375	28.223000000000003	82.158	16.875	24.375	48.125	80.0
RNA chain count	>=5	78	74	4	94.87179487179488	21.2165	15.947000000000001	26.666	10.719	28.49313513513513	42.20890000000001	342.239	4.054054054054054	9.45945945945946	13.513513513513514	44.5945945945946
