section	group	metric	metric_label	unit	n_total	n_valid	n_missing	coverage_percent	mean	mean_ci95_low	mean_ci95_high	median	q25	q75	iqr	p90	minimum	maximum
Overall	All targets	lddt	LDDT		2199	2162	37	98.31741700773078	0.7565966697502312	0.7489914662349677	0.7641932585568918	0.772	0.651	0.904	0.253	0.983	0.0	1.0
Time	Pre/on cutoff (≤2021-09-30)	lddt	LDDT		1574	1542	32	97.96696315120711	0.7923268482490272	0.7837604896238651	0.8006627756160831	0.811	0.68725	0.942	0.2547499999999999	0.99	0.0	1.0
Time	Post-cutoff (>2021-09-30)	lddt	LDDT		625	620	5	99.2	0.6677322580645161	0.6536660887096775	0.6816393951612904	0.6845000000000001	0.57075	0.794	0.22325000000000006	0.8831	0.034	0.997
RNA length	1-20 nt	lddt	LDDT		338	324	14	95.85798816568047	0.7464382716049383	0.7290381944444444	0.7631622685185185	0.7555000000000001	0.65225	0.86025	0.20799999999999996	0.9701999999999998	0.218	1.0
RNA length	21-50 nt	lddt	LDDT		803	797	6	99.25280199252802	0.7675959849435384	0.7552505646173149	0.7794838770388958	0.772	0.643	0.926	0.28300000000000003	0.9884	0.054	1.0
RNA length	51-100 nt	lddt	LDDT		427	419	8	98.1264637002342	0.7919260143198091	0.7729393794749403	0.8104971957040572	0.84	0.67	0.965	0.29499999999999993	0.993	0.0	1.0
RNA length	101-200 nt	lddt	LDDT		291	289	2	99.3127147766323	0.769318339100346	0.748989446366782	0.7892471453287196	0.796	0.65	0.913	0.263	0.979	0.227	0.998
RNA length	>200 nt	lddt	LDDT		340	333	7	97.94117647058823	0.6846606606606607	0.6659727477477477	0.7026186936936936	0.701	0.616	0.815	0.19899999999999995	0.8888	0.034	0.961
RNA chain count	1	lddt	LDDT		1187	1173	14	98.82055602358888	0.7424381926683717	0.7328008951406649	0.7522635336743393	0.726	0.639	0.874	0.235	0.9787999999999999	0.034	1.0
RNA chain count	2	lddt	LDDT		697	689	8	98.85222381635582	0.8087634252539914	0.7953526487663282	0.8221930696661828	0.861	0.721	0.955	0.23399999999999999	0.991	0.2	1.0
RNA chain count	3	lddt	LDDT		73	68	5	93.15068493150685	0.6654999999999999	0.6238224264705883	0.7065919117647058	0.652	0.573	0.808	0.2350000000000001	0.8697000000000003	0.174	0.994
RNA chain count	4	lddt	LDDT		164	159	5	96.95121951219512	0.7111761006289308	0.6758853773584905	0.7447105345911949	0.769	0.657	0.831	0.17399999999999993	0.9128000000000002	0.0	1.0
RNA chain count	>=5	lddt	LDDT		78	73	5	93.58974358974359	0.6755205479452054	0.6347530821917807	0.7148219178082192	0.712	0.541	0.824	0.2829999999999999	0.8563999999999999	0.132	0.963
