section	group	metric	metric_label	unit	n_total	n_valid	n_missing	coverage_percent	mean	mean_ci95_low	mean_ci95_high	median	q25	q75	iqr	p90	minimum	maximum
Overall	All targets	lddt	LDDT		2199	2162	37	98.31741700773078	0.7565966697502312	0.7489914662349677	0.7641932585568918	0.772	0.651	0.904	0.253	0.983	0.0	1.0
Overall	All targets	tm_score	TM-score		2199	2163	36	98.36289222373806	0.5328881183541379	0.5210076629680999	0.5448206310679611	0.448	0.283	0.8314999999999999	0.5485	0.97	0.021	0.997
Overall	All targets	gdt_ts	GDT-TS		2199	2167	32	98.54479308776716	0.6527508075680665	0.641493585602215	0.6642107521919705	0.668	0.447	0.9235	0.4765	1.0	0.013	1.0
Overall	All targets	rmsd	C3' RMSD	Å	2199	2167	32	98.54479308776716	8.632405168435625	8.096296065989849	9.227227088140284	3.479	1.0545	12.190000000000001	11.1355	23.706000000000003	0.098	342.239
Time	Pre/on cutoff (≤2021-09-30)	lddt	LDDT		1574	1542	32	97.96696315120711	0.7923268482490272	0.7837604896238651	0.8006627756160831	0.811	0.68725	0.942	0.2547499999999999	0.99	0.0	1.0
Time	Pre/on cutoff (≤2021-09-30)	tm_score	TM-score		1574	1543	31	98.03049555273189	0.5574815294880103	0.5424077608554764	0.5716375729099158	0.469	0.2895	0.8875	0.598	0.979	0.094	0.997
Time	Pre/on cutoff (≤2021-09-30)	gdt_ts	GDT-TS		1574	1547	27	98.284625158831	0.7202352941176472	0.7076332094376213	0.7327046218487394	0.75	0.51	0.9695	0.4595	1.0	0.016	1.0
Time	Pre/on cutoff (≤2021-09-30)	rmsd	C3' RMSD	Å	1574	1547	27	98.284625158831	6.313493212669683	5.760990400775695	6.9620554137039425	2.483	0.655	7.1434999999999995	6.488499999999999	19.912000000000003	0.098	342.239
Time	Post-cutoff (>2021-09-30)	lddt	LDDT		625	620	5	99.2	0.6677322580645161	0.6536660887096775	0.6816393951612904	0.6845000000000001	0.57075	0.794	0.22325000000000006	0.8831	0.034	0.997
Time	Post-cutoff (>2021-09-30)	tm_score	TM-score		625	620	5	99.2	0.4716822580645162	0.4531395967741936	0.4904379032258065	0.4065	0.2705	0.63525	0.36474999999999996	0.8685000000000002	0.021	0.995
Time	Post-cutoff (>2021-09-30)	gdt_ts	GDT-TS		625	620	5	99.2	0.48436612903225806	0.4631544758064516	0.5051841532258065	0.438	0.29174999999999995	0.693	0.40125	0.8913000000000001	0.013	1.0
Time	Post-cutoff (>2021-09-30)	rmsd	C3' RMSD	Å	625	620	5	99.2	14.418464516129033	13.31190701612903	15.609365846774192	10.6055	3.7135000000000002	19.544	15.8305	34.5582	0.185	96.996
RNA length	1-20 nt	lddt	LDDT		338	324	14	95.85798816568047	0.7464382716049383	0.7290381944444444	0.7631622685185185	0.7555000000000001	0.65225	0.86025	0.20799999999999996	0.9701999999999998	0.218	1.0
RNA length	1-20 nt	tm_score	TM-score		338	324	14	95.85798816568047	0.3556327160493827	0.33489475308641975	0.3769207561728395	0.2945	0.24075	0.38025	0.13949999999999999	0.6737000000000001	0.021	0.958
RNA length	1-20 nt	gdt_ts	GDT-TS		338	326	12	96.44970414201184	0.7496840490797546	0.7298310582822086	0.7695493865030675	0.764	0.605	0.906	0.30100000000000005	1.0	0.208	1.0
RNA length	1-20 nt	rmsd	C3' RMSD	Å	338	326	12	96.44970414201184	3.7222576687116566	3.2895871932515344	4.173054064417178	2.1795	1.11225	4.1825	3.07025	10.5555	0.107	16.369
RNA length	21-50 nt	lddt	LDDT		803	797	6	99.25280199252802	0.7675959849435384	0.7552505646173149	0.7794838770388958	0.772	0.643	0.926	0.28300000000000003	0.9884	0.054	1.0
RNA length	21-50 nt	tm_score	TM-score		803	798	5	99.37733499377335	0.47040726817042605	0.4519644736842105	0.4886688596491228	0.3645	0.26	0.74275	0.48275	0.8926000000000002	0.073	0.99
RNA length	21-50 nt	gdt_ts	GDT-TS		803	799	4	99.50186799501869	0.714448060075094	0.6986598560700876	0.7306624843554443	0.704	0.5275000000000001	0.9655	0.43799999999999994	1.0	0.096	1.0
RNA length	21-50 nt	rmsd	C3' RMSD	Å	803	799	4	99.50186799501869	4.614889862327909	4.235932071339174	4.991033166458071	2.932	0.7565	6.032	5.2755	11.782400000000004	0.098	37.703
RNA length	51-100 nt	lddt	LDDT		427	419	8	98.1264637002342	0.7919260143198091	0.7729393794749403	0.8104971957040572	0.84	0.67	0.965	0.29499999999999993	0.993	0.0	1.0
RNA length	51-100 nt	tm_score	TM-score		427	419	8	98.1264637002342	0.6779737470167065	0.6514007159904536	0.7050108591885442	0.715	0.425	0.971	0.546	0.985	0.1	0.995
RNA length	51-100 nt	gdt_ts	GDT-TS		427	419	8	98.1264637002342	0.6998830548926014	0.674473985680191	0.7256908114558471	0.737	0.4795	0.9864999999999999	0.5069999999999999	1.0	0.078	1.0
RNA length	51-100 nt	rmsd	C3' RMSD	Å	427	419	8	98.1264637002342	6.924861575178997	6.125774045346062	7.752708472553699	2.666	0.493	11.404499999999999	10.911499999999998	20.3954	0.149	37.297
RNA length	101-200 nt	lddt	LDDT		291	289	2	99.3127147766323	0.769318339100346	0.748989446366782	0.7892471453287196	0.796	0.65	0.913	0.263	0.979	0.227	0.998
RNA length	101-200 nt	tm_score	TM-score		291	289	2	99.3127147766323	0.5971038062283737	0.5650650519031141	0.6293883217993079	0.486	0.381	0.91	0.529	0.985	0.132	0.997
RNA length	101-200 nt	gdt_ts	GDT-TS		291	289	2	99.3127147766323	0.5552491349480968	0.5225583044982699	0.588725259515571	0.47	0.319	0.87	0.5509999999999999	0.989	0.093	1.0
RNA length	101-200 nt	rmsd	C3' RMSD	Å	291	289	2	99.3127147766323	14.111484429065744	12.796811851211073	15.434312629757784	16.242	2.008	23.465	21.457	28.5582	0.219	51.654
RNA length	>200 nt	lddt	LDDT		340	333	7	97.94117647058823	0.6846606606606607	0.6659727477477477	0.7026186936936936	0.701	0.616	0.815	0.19899999999999995	0.8888	0.034	0.961
RNA length	>200 nt	tm_score	TM-score		340	333	7	97.94117647058823	0.6167957957957959	0.586572972972973	0.6467573573573574	0.624	0.331	0.896	0.565	0.984	0.096	0.995
RNA length	>200 nt	gdt_ts	GDT-TS		340	334	6	98.23529411764706	0.4357844311377245	0.406250374251497	0.4660015718562873	0.3505	0.20425	0.71075	0.5065	0.8761999999999999	0.013	0.981
RNA length	>200 nt	rmsd	C3' RMSD	Å	340	334	6	98.23529411764706	20.436925149700603	18.046518263473054	23.24997552395209	13.7655	4.52225	29.735500000000002	25.213250000000002	44.140499999999996	0.647	342.239
RNA chain count	1	lddt	LDDT		1187	1173	14	98.82055602358888	0.7424381926683717	0.7328008951406649	0.7522635336743393	0.726	0.639	0.874	0.235	0.9787999999999999	0.034	1.0
RNA chain count	1	tm_score	TM-score		1187	1174	13	98.90480202190396	0.5210724020442931	0.5044560902896082	0.5378336456558772	0.3955	0.261	0.8334999999999999	0.5724999999999999	0.976	0.073	0.993
RNA chain count	1	gdt_ts	GDT-TS		1187	1175	12	98.98904802021904	0.6722842553191489	0.6585573617021278	0.6859524255319148	0.688	0.512	0.895	0.383	0.995	0.027	1.0
RNA chain count	1	rmsd	C3' RMSD	Å	1187	1175	12	98.98904802021904	6.287970212765957	5.823471808510638	6.751418829787234	3.324	1.4715	7.8025	6.331	14.4204	0.107	55.607
RNA chain count	2	lddt	LDDT		697	689	8	98.85222381635582	0.8087634252539914	0.7953526487663282	0.8221930696661828	0.861	0.721	0.955	0.23399999999999999	0.991	0.2	1.0
RNA chain count	2	tm_score	TM-score		697	689	8	98.85222381635582	0.591599419448476	0.5721024673439769	0.6117070754716982	0.526	0.352	0.873	0.521	0.956	0.021	0.997
RNA chain count	2	gdt_ts	GDT-TS		697	690	7	98.99569583931134	0.7151985507246377	0.6940065579710145	0.7363527898550724	0.795	0.46325000000000005	0.989	0.5257499999999999	1.0	0.055	1.0
RNA chain count	2	rmsd	C3' RMSD	Å	697	690	7	98.99569583931134	8.939992753623187	8.015923731884056	9.863635144927537	1.867	0.5654999999999999	15.36475	14.79925	28.6304	0.098	60.933
RNA chain count	3	lddt	LDDT		73	68	5	93.15068493150685	0.6654999999999999	0.6238224264705883	0.7065919117647058	0.652	0.573	0.808	0.2350000000000001	0.8697000000000003	0.174	0.994
RNA chain count	3	tm_score	TM-score		73	68	5	93.15068493150685	0.5230588235294118	0.4621161764705883	0.5869169117647058	0.3895	0.3235	0.6942499999999999	0.3707499999999999	0.9818	0.24	0.991
RNA chain count	3	gdt_ts	GDT-TS		73	68	5	93.15068493150685	0.4883382352941177	0.4352753676470588	0.5441209558823529	0.359	0.32175	0.625	0.30325	0.8045000000000001	0.119	1.0
RNA chain count	3	rmsd	C3' RMSD	Å	73	68	5	93.15068493150685	13.731573529411767	11.58749411764706	15.850658823529407	16.3155	4.2395	19.811249999999998	15.571749999999998	23.7954	0.215	36.491
RNA chain count	4	lddt	LDDT		164	159	5	96.95121951219512	0.7111761006289308	0.6758853773584905	0.7447105345911949	0.769	0.657	0.831	0.17399999999999993	0.9128000000000002	0.0	1.0
RNA chain count	4	tm_score	TM-score		164	159	5	96.95121951219512	0.46687421383647804	0.43392327044025153	0.5022707547169811	0.421	0.3365	0.482	0.14549999999999996	0.9832	0.134	0.993
RNA chain count	4	gdt_ts	GDT-TS		164	160	4	97.5609756097561	0.47379999999999994	0.4401870312500001	0.50705046875	0.49	0.3035	0.52725	0.22375	0.803	0.02	1.0
RNA chain count	4	rmsd	C3' RMSD	Å	164	160	4	97.5609756097561	13.17014375	11.33361671875	15.144760312499999	10.798	5.61125	18.204250000000002	12.593000000000002	28.223000000000003	0.149	82.158
RNA chain count	>=5	lddt	LDDT		78	73	5	93.58974358974359	0.6755205479452054	0.6347530821917807	0.7148219178082192	0.712	0.541	0.824	0.2829999999999999	0.8563999999999999	0.132	0.963
RNA chain count	>=5	tm_score	TM-score		78	73	5	93.58974358974359	0.3217123287671233	0.2841496575342466	0.3631780821917808	0.295	0.207	0.364	0.157	0.49899999999999994	0.096	0.899
RNA chain count	>=5	gdt_ts	GDT-TS		78	74	4	94.87179487179488	0.2983108108108108	0.25299966216216213	0.34624459459459445	0.2465	0.1705	0.3515	0.18099999999999997	0.6135	0.013	0.979
RNA chain count	>=5	rmsd	C3' RMSD	Å	78	74	4	94.87179487179488	28.49313513513513	21.141254054054055	39.335504391891874	21.2165	15.947000000000001	26.666	10.719	42.20890000000001	0.676	342.239
