split	pdb_id	seed	sample	pre_refinement_aligned_rmsd	max_pre_refinement_rmsd	duration_seconds	output	reason
val	7PTK	300	0	33.689825	30.000000	1.067361	/storage9920/home/tinghao.xia/Data_PT_V1/val/7ptk/seed_300/sample_0.pt	pre_refinement_aligned_rmsd_above_limit
val	7PTK	300	1	30.623336	30.000000	0.741123	/storage9920/home/tinghao.xia/Data_PT_V1/val/7ptk/seed_300/sample_1.pt	pre_refinement_aligned_rmsd_above_limit
val	7PTK	300	2	32.878586	30.000000	0.794533	/storage9920/home/tinghao.xia/Data_PT_V1/val/7ptk/seed_300/sample_2.pt	pre_refinement_aligned_rmsd_above_limit
val	7PTK	300	3	30.809589	30.000000	0.785599	/storage9920/home/tinghao.xia/Data_PT_V1/val/7ptk/seed_300/sample_3.pt	pre_refinement_aligned_rmsd_above_limit
val	7PTK	301	0	36.717232	30.000000	0.834958	/storage9920/home/tinghao.xia/Data_PT_V1/val/7ptk/seed_301/sample_0.pt	pre_refinement_aligned_rmsd_above_limit
val	7PTK	301	1	33.305980	30.000000	0.830231	/storage9920/home/tinghao.xia/Data_PT_V1/val/7ptk/seed_301/sample_1.pt	pre_refinement_aligned_rmsd_above_limit
val	7PTK	301	2	41.990663	30.000000	0.831875	/storage9920/home/tinghao.xia/Data_PT_V1/val/7ptk/seed_301/sample_2.pt	pre_refinement_aligned_rmsd_above_limit
val	7PTK	301	3	43.551839	30.000000	0.826676	/storage9920/home/tinghao.xia/Data_PT_V1/val/7ptk/seed_301/sample_3.pt	pre_refinement_aligned_rmsd_above_limit
val	7PTK	302	0	41.978363	30.000000	0.861221	/storage9920/home/tinghao.xia/Data_PT_V1/val/7ptk/seed_302/sample_0.pt	pre_refinement_aligned_rmsd_above_limit
val	7PTK	302	1	37.754651	30.000000	0.830525	/storage9920/home/tinghao.xia/Data_PT_V1/val/7ptk/seed_302/sample_1.pt	pre_refinement_aligned_rmsd_above_limit
val	7PTK	302	2	35.470077	30.000000	0.848486	/storage9920/home/tinghao.xia/Data_PT_V1/val/7ptk/seed_302/sample_2.pt	pre_refinement_aligned_rmsd_above_limit
val	7PTK	302	3	48.408889	30.000000	0.774581	/storage9920/home/tinghao.xia/Data_PT_V1/val/7ptk/seed_302/sample_3.pt	pre_refinement_aligned_rmsd_above_limit
val	7PTK	303	0	33.508869	30.000000	0.831399	/storage9920/home/tinghao.xia/Data_PT_V1/val/7ptk/seed_303/sample_0.pt	pre_refinement_aligned_rmsd_above_limit
val	7PTK	303	1	31.794085	30.000000	0.801548	/storage9920/home/tinghao.xia/Data_PT_V1/val/7ptk/seed_303/sample_1.pt	pre_refinement_aligned_rmsd_above_limit
val	7PTK	303	2	33.855779	30.000000	0.794891	/storage9920/home/tinghao.xia/Data_PT_V1/val/7ptk/seed_303/sample_2.pt	pre_refinement_aligned_rmsd_above_limit
val	7PTK	303	3	36.173750	30.000000	0.829515	/storage9920/home/tinghao.xia/Data_PT_V1/val/7ptk/seed_303/sample_3.pt	pre_refinement_aligned_rmsd_above_limit
val	7PTK	304	0	38.953995	30.000000	0.805436	/storage9920/home/tinghao.xia/Data_PT_V1/val/7ptk/seed_304/sample_0.pt	pre_refinement_aligned_rmsd_above_limit
val	7PTK	304	1	33.365558	30.000000	0.791294	/storage9920/home/tinghao.xia/Data_PT_V1/val/7ptk/seed_304/sample_1.pt	pre_refinement_aligned_rmsd_above_limit
val	7PTK	304	2	31.693258	30.000000	0.795566	/storage9920/home/tinghao.xia/Data_PT_V1/val/7ptk/seed_304/sample_2.pt	pre_refinement_aligned_rmsd_above_limit
val	7PTK	304	3	37.246761	30.000000	0.823092	/storage9920/home/tinghao.xia/Data_PT_V1/val/7ptk/seed_304/sample_3.pt	pre_refinement_aligned_rmsd_above_limit
