trainer/global_step,RNA_test_02_rmsd_less - lr-AdamW,RNA_test_02_rmsd_less - lr-AdamW__MIN,RNA_test_02_rmsd_less - lr-AdamW__MAX,RNA_test_02_rmsd_less - _step,RNA_test_02_rmsd_less - _step__MIN,RNA_test_02_rmsd_less - _step__MAX
49,1.47095E-05,1.47095E-05,1.47095E-05,2.5,0,5
99,2.9709E-05,2.9709E-05,2.9709E-05,10,9,11
149,4.47085E-05,4.47085E-05,4.47085E-05,15.66666667,14,17
199,5.9708E-05,5.9708E-05,5.9708E-05,19.33333333,18,21
249,7.47075E-05,7.47075E-05,7.47075E-05,25.5,25,26
299,8.9707E-05,8.9707E-05,8.9707E-05,34,33,35
349,0.000104707,0.000104707,0.000104707,37.5,36,39
399,0.000119706,0.000119706,0.000119706,44,42,46
449,0.000134706,0.000134706,0.000134706,50.33333333,48,52
499,0.000149705,0.000149705,0.000149705,57.66666667,56,59
549,0.000164705,0.000164705,0.000164705,62.5,62,63
599,0.000179704,0.000179704,0.000179704,68.75,66,71
649,0.000194704,0.000194704,0.000194704,74.4,72,77
699,0.000209703,0.000209703,0.000209703,81.33333333,79,83
749,0.000224703,0.000224703,0.000224703,87.5,87,88
799,0.000239702,0.000239702,0.000239702,92.5,91,94
849,0.000254702,0.000254702,0.000254702,97.5,96,99
899,0.000269701,0.000269701,0.000269701,104.6666667,102,107
999,0.0002997,0.0002997,0.0002997,117.5,117,118
1049,0.0003,0.0003,0.0003,123,121,125
1099,0.000299999,0.000299999,0.000299999,127,127,127
1149,0.000299998,0.000299998,0.000299998,135.5,135,136
1199,0.000299997,0.000299997,0.000299997,140.5,138,143
1249,0.000299995,0.000299995,0.000299995,147.3333333,145,149
1299,0.000299993,0.000299993,0.000299993,152.25,150,154
1349,0.000299991,0.000299991,0.000299991,157.3333333,156,159
1399,0.000299988,0.000299988,0.000299988,164.5,162,167
1449,0.000299985,0.000299985,0.000299985,171.5,170,173
1499,0.000299981,0.000299981,0.000299981,175.3333333,174,177
1549,0.000299977,0.000299977,0.000299977,184.5,184,185
1599,0.000299973,0.000299973,0.000299973,188,187,189
1649,0.000299968,0.000299968,0.000299968,194.75,192,197
1749,0.000299958,0.000299958,0.000299958,209,209,209
1799,0.000299952,0.000299952,0.000299952,211,211,211
1849,0.000299946,0.000299946,0.000299946,221,221,221
1899,0.000299939,0.000299939,0.000299939,225,223,227
1949,0.000299932,0.000299932,0.000299932,230.6666667,229,233
1999,0.000299925,0.000299925,0.000299925,234.5,234,235
2049,0.000299917,0.000299917,0.000299917,242.3333333,240,244
2099,0.000299909,0.000299909,0.000299909,247.3333333,246,249
2149,0.0002999,0.0002999,0.0002999,253.5,253,254
2199,0.000299891,0.000299891,0.000299891,258,258,258
2249,0.000299882,0.000299882,0.000299882,267,265,269
2299,0.000299873,0.000299873,0.000299873,272.5,272,273
2349,0.000299863,0.000299863,0.000299863,277.6666667,276,280
2399,0.000299852,0.000299852,0.000299852,283,283,283
2449,0.000299841,0.000299841,0.000299841,290,289,291
2499,0.00029983,0.00029983,0.00029983,294,294,294
2549,0.000299819,0.000299819,0.000299819,302.8,300,305
2599,0.000299807,0.000299807,0.000299807,308.5,308,309
2649,0.000299795,0.000299795,0.000299795,315,313,317
2699,0.000299782,0.000299782,0.000299782,319,319,319
2749,0.000299769,0.000299769,0.000299769,324,324,324
2799,0.000299756,0.000299756,0.000299756,332,330,335
2849,0.000299742,0.000299742,0.000299742,336.5,336,337
2899,0.000299728,0.000299728,0.000299728,346,346,346
2949,0.000299713,0.000299713,0.000299713,350,348,352
2999,0.000299698,0.000299698,0.000299698,355,355,355
3049,0.000299683,0.000299683,0.000299683,361.6666667,360,364
3099,0.000299667,0.000299667,0.000299667,368.25,366,371
3149,0.000299651,0.000299651,0.000299651,376.5,376,377
3199,0.000299635,0.000299635,0.000299635,381,381,381
3249,0.000299618,0.000299618,0.000299618,388.5,388,389
3299,0.000299601,0.000299601,0.000299601,392.5,391,394
3349,0.000299583,0.000299583,0.000299583,398,396,400
3399,0.000299566,0.000299566,0.000299566,405,404,406
3449,0.000299547,0.000299547,0.000299547,413,413,413
3549,0.00029951,0.00029951,0.00029951,424.5,424,425
3599,0.00029949,0.00029949,0.00029949,427.3333333,426,429
3649,0.00029947,0.00029947,0.00029947,434,434,434
3699,0.00029945,0.00029945,0.00029945,440.5,440,441
3749,0.00029943,0.00029943,0.00029943,446,446,446
3799,0.000299409,0.000299409,0.000299409,452.3333333,450,454
3849,0.000299387,0.000299387,0.000299387,458.6,456,461
3899,0.000299366,0.000299366,0.000299366,464.3333333,462,467
3949,0.000299344,0.000299344,0.000299344,470,469,471
3999,0.000299321,0.000299321,0.000299321,475,474,476
4049,0.000299298,0.000299298,0.000299298,481.5,481,482
4099,0.000299275,0.000299275,0.000299275,488,487,489
4149,0.000299252,0.000299252,0.000299252,495,493,497
4199,0.000299228,0.000299228,0.000299228,500.25,498,502
4249,0.000299203,0.000299203,0.000299203,505,505,505
4299,0.000299179,0.000299179,0.000299179,512,510,514
4349,0.000299154,0.000299154,0.000299154,517,516,518
4399,0.000299128,0.000299128,0.000299128,525.5,525,526
4449,0.000299103,0.000299103,0.000299103,532,531,533
4499,0.000299076,0.000299076,0.000299076,536,536,536
4549,0.00029905,0.00029905,0.00029905,542.3333333,541,544
4599,0.000299023,0.000299023,0.000299023,549.5,548,551
4699,0.000298968,0.000298968,0.000298968,561,559,563
4749,0.00029894,0.00029894,0.00029894,565.5,564,567
4799,0.000298911,0.000298911,0.000298911,573.5,573,574
4849,0.000298883,0.000298883,0.000298883,578,576,581
4899,0.000298853,0.000298853,0.000298853,584,582,586
4949,0.000298824,0.000298824,0.000298824,590.25,588,592
4999,0.000298794,0.000298794,0.000298794,596,594,598
5049,0.000298764,0.000298764,0.000298764,604,603,605
5099,0.000298733,0.000298733,0.000298733,607.5,607,608
5149,0.000298702,0.000298702,0.000298702,614,612,616
5199,0.00029867,0.00029867,0.00029867,620,618,622
5249,0.000298639,0.000298639,0.000298639,625.5,624,627
5299,0.000298606,0.000298606,0.000298606,634,633,635
5399,0.000298541,0.000298541,0.000298541,644.6,642,647
5449,0.000298508,0.000298508,0.000298508,650.25,648,652
5549,0.00029844,0.00029844,0.00029844,661.5,661,662
5599,0.000298405,0.000298405,0.000298405,668.5,667,670
5649,0.000298371,0.000298371,0.000298371,674.5,674,675
5749,0.0002983,0.0002983,0.0002983,685,685,685
5799,0.000298264,0.000298264,0.000298264,691.75,690,694
5849,0.000298228,0.000298228,0.000298228,698.6666667,696,701
5899,0.000298191,0.000298191,0.000298191,702,702,702
5949,0.000298154,0.000298154,0.000298154,714,714,714
5999,0.000298117,0.000298117,0.000298117,719,716,721
6049,0.000298079,0.000298079,0.000298079,725,723,727
6099,0.000298041,0.000298041,0.000298041,730,728,732
6149,0.000298002,0.000298002,0.000298002,735,735,735
6249,0.000297924,0.000297924,0.000297924,746.5,746,747
6299,0.000297884,0.000297884,0.000297884,754.5,753,756
6349,0.000297844,0.000297844,0.000297844,760.6666667,759,762
6399,0.000297804,0.000297804,0.000297804,764.5,764,765
6449,0.000297763,0.000297763,0.000297763,772,770,775
6499,0.000297722,0.000297722,0.000297722,777,777,777
6549,0.000297681,0.000297681,0.000297681,783,783,783
6599,0.000297639,0.000297639,0.000297639,790.5,790,791
6649,0.000297596,0.000297596,0.000297596,796,796,796
6699,0.000297554,0.000297554,0.000297554,803,803,803
6749,0.000297511,0.000297511,0.000297511,807.6666667,806,809
6799,0.000297467,0.000297467,0.000297467,814,814,814
6899,0.00029738,0.00029738,0.00029738,828.5,828,829
6949,0.000297335,0.000297335,0.000297335,834,834,834
6999,0.00029729,0.00029729,0.00029729,840,839,841
7099,0.000297199,0.000297199,0.000297199,850,850,850
