PDB_ID	RELEASE_DATE	INITIAL_SPLIT	STRICT_RANK1_RMSD_ANGSTROM	SELECTION_STATUS	FINAL_SPLIT	FINAL_STATUS	EXCLUSION_REASON	RNA_CHAIN_ID	TARGET_DIRECTORY
10ZT	2026-05-27	test	37.409	SELECTED	test	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/test/10zt
10ZU	2026-05-27	test	30.119	SELECTED		DROP_INTERNAL_REDUNDANT	Non-representative member of a test homology component	A	
11AG	2026-05-27	test	45.924	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
11EH	2026-05-27	test	33.005	SELECTED		DROP_INTERNAL_REDUNDANT	Non-representative member of a test homology component	A	
12CI	2026-05-13	test	32.265	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
12CJ	2026-05-13	test	22.269	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
157D	1994-05-31	train	0.253	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
165D	1994-08-31	train	0.211	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
17RA	1999-04-20	train	2.753	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/17ra
1A3M	1998-04-29	train	3.053	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1A4D	1998-04-29	train	4.881	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1A51	1998-05-27	train	5.196	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1a51
1A60	1998-05-27	train	6.659	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1a60
1A9L	1998-06-17	train	12.711	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1a9l
1AFX	1997-05-15	train	2.013	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1afx
1AJF	1997-07-07	train	1.411	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1ajf
1AJL	1997-07-07	train	6.536	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
