pdb_id	split	reason
1AM0	train	native_atom_fraction_0.407_below_0.500
1G2J	train	predicted_RNAFM_sequence_mismatch_involving_N_or_X
1NJN	train	2880nt_duplicate_sequence_deferred_from_v1_training
1P9X	train	2880nt_duplicate_sequence_deferred_from_v1_training
1Z58	train	2880nt_duplicate_sequence_deferred_from_v1_training
2GBH	train	ccd_not_uniquely_mappable_to_ACGU:GMP
2JRG	train	predicted_RNAFM_sequence_mismatch_involving_N_or_X
2JRQ	train	predicted_RNAFM_sequence_mismatch_involving_N_or_X
2KRQ	train	unsupported_inosine_I
2KRV	train	unsupported_inosine_I
2KRY	train	predicted_RNAFM_sequence_mismatch_involving_N_or_X
2O43	train	2880nt_duplicate_sequence_deferred_from_v1_training
2O44	train	2880nt_duplicate_sequence_deferred_from_v1_training
2O45	train	2880nt_duplicate_sequence_deferred_from_v1_training
333D	train	unsupported_inosine_I
3S7C	train	predicted_RNAFM_sequence_mismatch_involving_N_or_X
3S8U	train	ccd_not_uniquely_mappable_to_ACGU:AT7
4A4R	train	ccd_not_uniquely_mappable_to_ACGU:GMP
4NLF	train	ccd_not_uniquely_mappable_to_ACGU:6FC
4NMG	train	ccd_not_uniquely_mappable_to_ACGU:6FU
4NXH	train	ccd_not_uniquely_mappable_to_ACGU:6FU
4QK8	train	predicted_RNAFM_sequence_mismatch_involving_N_or_X
4QK9	train	predicted_RNAFM_sequence_mismatch_involving_N_or_X
4QKA	train	predicted_RNAFM_sequence_mismatch_involving_N_or_X
4RBY	train	predicted_RNAFM_sequence_mismatch_involving_N_or_X
4RBZ	train	ccd_not_uniquely_mappable_to_ACGU:ADS
4RC0	train	predicted_RNAFM_sequence_mismatch_involving_N_or_X
5C7W	train	ccd_not_uniquely_mappable_to_ACGU:50L,50N
5DO5	train	predicted_RNAFM_sequence_mismatch_involving_N_or_X
5HBY	train	predicted_RNAFM_sequence_mismatch_involving_N_or_X
5MRX	train	predicted_RNAFM_sequence_mismatch_involving_N_or_X
5NQI	train	predicted_RNAFM_sequence_mismatch_involving_N_or_X
5V0K	train	predicted_RNAFM_sequence_mismatch_involving_N_or_X
6E1S	train	unsupported_unknown_N
6E1T	train	unsupported_unknown_N
6E1U	train	unsupported_unknown_N
6E1V	train	unsupported_unknown_N
6E1W	train	unsupported_unknown_N
6MCI	train	ccd_not_uniquely_mappable_to_ACGU:RY
6VU1	train	ccd_not_uniquely_mappable_to_ACGU:M7G
6VVJ	train	ccd_not_uniquely_mappable_to_ACGU:M7G
6Y3G	train	predicted_RNAFM_sequence_mismatch_involving_N_or_X
6ZYB	train	ccd_not_uniquely_mappable_to_ACGU:QSK
7JJE	train	predicted_RNAFM_sequence_mismatch_involving_N_or_X
7JJF	train	predicted_RNAFM_sequence_mismatch_involving_N_or_X
7L3R	train	ccd_not_uniquely_mappable_to_ACGU:XNY
7E9E	val	unsupported_unknown_N
7QSH	val	ccd_not_uniquely_mappable_to_ACGU:XAN
7QUA	val	ccd_not_uniquely_mappable_to_ACGU:XMP
10ZT	test	native_atom_fraction_0.185_below_0.500
30SC	test	unsupported_inosine_I
8YAM	test	unsupported_unknown_N
8YAN	test	unsupported_unknown_N
9CSQ	test	unsupported_inosine_I
9CSR	test	unsupported_inosine_I
9CXF	test	native_atom_fraction_0.338_below_0.500
9NBC	test	native_atom_fraction_0.391_below_0.500
9NDV	test	native_atom_fraction_0.403_below_0.500
9R7Q	test	predicted_RNAFM_sequence_mismatch_involving_N_or_X
9R7W	test	predicted_RNAFM_sequence_mismatch_involving_N_or_X
