split	pdb_id	prediction_samples	reason
train	1AM0	200	native_atom_fraction_0.407_below_0.500
train	1G2J	200	predicted_RNAFM_sequence_mismatch_involving_N_or_X
train	1NJN	200	2880nt_duplicate_sequence_deferred_from_v1_training
train	1P9X	200	2880nt_duplicate_sequence_deferred_from_v1_training
train	1Z58	200	2880nt_duplicate_sequence_deferred_from_v1_training
train	2GBH	200	ccd_not_uniquely_mappable_to_ACGU:GMP
train	2JRG	200	predicted_RNAFM_sequence_mismatch_involving_N_or_X
train	2JRQ	200	predicted_RNAFM_sequence_mismatch_involving_N_or_X
train	2KRQ	200	unsupported_inosine_I
train	2KRV	200	unsupported_inosine_I
train	2KRY	200	predicted_RNAFM_sequence_mismatch_involving_N_or_X
train	2O43	200	2880nt_duplicate_sequence_deferred_from_v1_training
train	2O44	200	2880nt_duplicate_sequence_deferred_from_v1_training
train	2O45	200	2880nt_duplicate_sequence_deferred_from_v1_training
train	333D	200	unsupported_inosine_I
train	3S7C	200	predicted_RNAFM_sequence_mismatch_involving_N_or_X
train	3S8U	200	ccd_not_uniquely_mappable_to_ACGU:AT7
train	4A4R	200	ccd_not_uniquely_mappable_to_ACGU:GMP
train	4NLF	200	ccd_not_uniquely_mappable_to_ACGU:6FC
train	4NMG	200	ccd_not_uniquely_mappable_to_ACGU:6FU
train	4NXH	200	ccd_not_uniquely_mappable_to_ACGU:6FU
train	4QK8	200	predicted_RNAFM_sequence_mismatch_involving_N_or_X
train	4QK9	200	predicted_RNAFM_sequence_mismatch_involving_N_or_X
train	4QKA	200	predicted_RNAFM_sequence_mismatch_involving_N_or_X
train	4RBY	200	predicted_RNAFM_sequence_mismatch_involving_N_or_X
train	4RBZ	200	ccd_not_uniquely_mappable_to_ACGU:ADS
train	4RC0	200	predicted_RNAFM_sequence_mismatch_involving_N_or_X
train	5C7W	200	ccd_not_uniquely_mappable_to_ACGU:50L,50N
train	5DO5	200	predicted_RNAFM_sequence_mismatch_involving_N_or_X
train	5HBY	200	predicted_RNAFM_sequence_mismatch_involving_N_or_X
train	5MRX	200	predicted_RNAFM_sequence_mismatch_involving_N_or_X
train	5NQI	200	predicted_RNAFM_sequence_mismatch_involving_N_or_X
train	5V0K	200	predicted_RNAFM_sequence_mismatch_involving_N_or_X
train	6E1S	200	unsupported_unknown_N
train	6E1T	200	unsupported_unknown_N
train	6E1U	200	unsupported_unknown_N
train	6E1V	200	unsupported_unknown_N
train	6E1W	200	unsupported_unknown_N
train	6MCI	200	ccd_not_uniquely_mappable_to_ACGU:RY
train	6VU1	200	ccd_not_uniquely_mappable_to_ACGU:M7G
train	6VVJ	200	ccd_not_uniquely_mappable_to_ACGU:M7G
train	6Y3G	200	predicted_RNAFM_sequence_mismatch_involving_N_or_X
train	6ZYB	200	ccd_not_uniquely_mappable_to_ACGU:QSK
train	7JJE	200	predicted_RNAFM_sequence_mismatch_involving_N_or_X
train	7JJF	200	predicted_RNAFM_sequence_mismatch_involving_N_or_X
train	7L3R	200	ccd_not_uniquely_mappable_to_ACGU:XNY
val	7E9E	200	unsupported_unknown_N
val	7QSH	200	ccd_not_uniquely_mappable_to_ACGU:XAN
val	7QUA	200	ccd_not_uniquely_mappable_to_ACGU:XMP
test	10ZT	200	native_atom_fraction_0.185_below_0.500
test	30SC	200	unsupported_inosine_I
test	8YAM	200	unsupported_unknown_N
test	8YAN	200	unsupported_unknown_N
test	9CSQ	200	unsupported_inosine_I
test	9CSR	200	unsupported_inosine_I
test	9CXF	200	native_atom_fraction_0.338_below_0.500
test	9NBC	200	native_atom_fraction_0.391_below_0.500
test	9NDV	200	native_atom_fraction_0.403_below_0.500
test	9R7Q	200	predicted_RNAFM_sequence_mismatch_involving_N_or_X
test	9R7W	200	predicted_RNAFM_sequence_mismatch_involving_N_or_X
test	9ZC9	200	user_excluded_extreme_aligned_RMSD_42.89_to_62.67A
