PDB_ID	RAW_JSON	TASK_NAME	SPLIT	JSON_RNA_CHAIN_COUNT	MANIFEST_RNA_CHAIN_COUNT	MAX_CHAIN_LENGTH	SEQUENCE_MULTISET_MATCH	HAS_NON_ACGU	HAS_OVERLENGTH_CHAIN	STATUS	ISSUE_CODES
10ZT	/storage9920/home/tinghao.xia/Json_data/Simple_json/10zt.json	10ZT	test	1	1	519	True	False	False	PASS	
10ZU	/storage9920/home/tinghao.xia/Json_data/Simple_json/10zu.json	10ZU		1	1	518	True	False	False	FAIL	MISSING_SPLIT
11AG	/storage9920/home/tinghao.xia/Json_data/Simple_json/11ag.json	11AG		2	2	518	True	False	False	FAIL	MISSING_SPLIT
11EH	/storage9920/home/tinghao.xia/Json_data/Simple_json/11eh.json	11EH		1	1	519	True	False	False	FAIL	MISSING_SPLIT
12CI	/storage9920/home/tinghao.xia/Json_data/Simple_json/12ci.json	12CI	test	2	2	82	True	False	False	PASS	
12CJ	/storage9920/home/tinghao.xia/Json_data/Simple_json/12cj.json	12CJ	test	2	2	77	True	False	False	PASS	
157D	/storage9920/home/tinghao.xia/Json_data/Simple_json/157d.json	157D	train	2	2	12	True	False	False	PASS	
165D	/storage9920/home/tinghao.xia/Json_data/Simple_json/165d.json	165D	train	2	2	9	True	False	False	PASS	
17RA	/storage9920/home/tinghao.xia/Json_data/Simple_json/17ra.json	17RA	train	1	1	21	True	False	False	PASS	
1A3M	/storage9920/home/tinghao.xia/Json_data/Simple_json/1a3m.json	1A3M	train	2	2	14	True	False	False	PASS	
1A4D	/storage9920/home/tinghao.xia/Json_data/Simple_json/1a4d.json	1A4D	train	2	2	21	True	False	False	PASS	
1A51	/storage9920/home/tinghao.xia/Json_data/Simple_json/1a51.json	1A51	train	1	1	41	True	False	False	PASS	
1A60	/storage9920/home/tinghao.xia/Json_data/Simple_json/1a60.json	1A60	train	1	1	44	True	False	False	PASS	
1A9L	/storage9920/home/tinghao.xia/Json_data/Simple_json/1a9l.json	1A9L	train	1	1	38	True	False	False	PASS	
1AFX	/storage9920/home/tinghao.xia/Json_data/Simple_json/1afx.json	1AFX	train	1	1	12	True	False	False	PASS	
1AJF	/storage9920/home/tinghao.xia/Json_data/Simple_json/1ajf.json	1AJF	train	1	1	18	True	False	False	PASS	
1AJL	/storage9920/home/tinghao.xia/Json_data/Simple_json/1ajl.json	1AJL	train	2	2	12	True	False	False	PASS	
1AJT	/storage9920/home/tinghao.xia/Json_data/Simple_json/1ajt.json	1AJT	train	2	2	12	True	False	False	PASS	
1AJU	/storage9920/home/tinghao.xia/Json_data/Simple_json/1aju.json	1AJU	train	1	1	30	True	False	False	PASS	
1AKX	/storage9920/home/tinghao.xia/Json_data/Simple_json/1akx.json	1AKX	train	1	1	30	True	False	False	PASS	
1AL5	/storage9920/home/tinghao.xia/Json_data/Simple_json/1al5.json	1AL5	train	2	2	12	True	False	False	PASS	
1AM0	/storage9920/home/tinghao.xia/Json_data/Simple_json/1am0.json	1AM0	train	1	1	40	True	False	False	PASS	
1ANR	/storage9920/home/tinghao.xia/Json_data/Simple_json/1anr.json	1ANR	train	1	1	29	True	False	False	PASS	
1AQO	/storage9920/home/tinghao.xia/Json_data/Simple_json/1aqo.json	1AQO	train	1	1	29	True	False	False	PASS	
1ARJ	/storage9920/home/tinghao.xia/Json_data/Simple_json/1arj.json	1ARJ	train	1	1	29	True	False	False	PASS	
1ATO	/storage9920/home/tinghao.xia/Json_data/Simple_json/1ato.json	1ATO	train	1	1	19	True	False	False	PASS	
1ATV	/storage9920/home/tinghao.xia/Json_data/Simple_json/1atv.json	1ATV	train	1	1	17	True	False	False	PASS	
1ATW	/storage9920/home/tinghao.xia/Json_data/Simple_json/1atw.json	1ATW	train	1	1	15	True	False	False	PASS	
1B36	/storage9920/home/tinghao.xia/Json_data/Simple_json/1b36.json	1B36	train	1	1	38	True	False	False	PASS	
1BAU	/storage9920/home/tinghao.xia/Json_data/Simple_json/1bau.json	1BAU	train	2	2	23	True	False	False	PASS	
