PDB_ID	CHAIN_INDEX	ORIGINAL_CHAIN_ID	EXPECTED_PROTENIX_CHAIN_ID	ENTITY_ID	SEQUENCE_LENGTH	SEQUENCE_SHA256	NON_ACGU_COUNT	UNK_TOKEN_COUNT	EMBEDDING_METHOD	WINDOW_COUNT	WINDOW_STARTS	OUTPUT_PATH
10ZT	0	A	A	1	519	b4bf4d10725032fa5f4d7ebbbe489a9f6b1a6f81294e7b20c9b3c9efa2648646	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/10ZT/rnafm_t12_residue_embeddings.pt
10ZU	0	A	A	1	518	2ed6ffafacb1cddbe5b9b15c8619f5d42b1d16356d7267ba128c1728973d08b5	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/10ZU/rnafm_t12_residue_embeddings.pt
11AG	0	A	A	1	518	1b45cd9ea537019aef1f04d973ca0939b5906c56c586f62101b4f8abf8fdaf85	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/11AG/rnafm_t12_residue_embeddings.pt
11AG	1	C	B	1	518	1b45cd9ea537019aef1f04d973ca0939b5906c56c586f62101b4f8abf8fdaf85	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/11AG/rnafm_t12_residue_embeddings.pt
11EH	0	A	A	1	519	858264329654075af68e2e49f68976cc4af279463c0fc200960a279e50adc442	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/11EH/rnafm_t12_residue_embeddings.pt
12CI	0	A	A	1	82	80c69a6cf0b131e0617c2e265ca7b66bb41b570f7c2a95c24d1c0d181645bafa	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/12CI/rnafm_t12_residue_embeddings.pt
12CI	1	B	B	1	82	80c69a6cf0b131e0617c2e265ca7b66bb41b570f7c2a95c24d1c0d181645bafa	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/12CI/rnafm_t12_residue_embeddings.pt
12CJ	0	A	A	1	77	fdf5adce7765c9efbcbb1b0d89cb9f63eb35f6f64e79ccaa4b6b6ddeba86a6da	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/12CJ/rnafm_t12_residue_embeddings.pt
12CJ	1	B	B	1	77	fdf5adce7765c9efbcbb1b0d89cb9f63eb35f6f64e79ccaa4b6b6ddeba86a6da	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/12CJ/rnafm_t12_residue_embeddings.pt
157D	0	A	A	1	12	1ebf43bc82c9eaa5e9b2f361bc75b00cdcba058aeeca434f19fdd2661c498c6c	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/157D/rnafm_t12_residue_embeddings.pt
157D	1	B	B	1	12	1ebf43bc82c9eaa5e9b2f361bc75b00cdcba058aeeca434f19fdd2661c498c6c	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/157D/rnafm_t12_residue_embeddings.pt
165D	0	A	A	1	9	acfb880a3eb2f45c94ec19445d77146d61745e3db9c4257e50054d681d06ed76	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/165D/rnafm_t12_residue_embeddings.pt
165D	1	B	B	1	9	acfb880a3eb2f45c94ec19445d77146d61745e3db9c4257e50054d681d06ed76	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/165D/rnafm_t12_residue_embeddings.pt
17RA	0	A	A	1	21	24587e7d915ab964915c7f9b2b0dfb62a90d1236ea60b1a68932dc8c0476bb5a	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/17RA/rnafm_t12_residue_embeddings.pt
1A3M	0	A	A	1	14	c28669cdb48e179526d38645abb5b373c2e6027a8dc8034da3c26bdd335c67e9	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1A3M/rnafm_t12_residue_embeddings.pt
1A3M	1	B	B	2	13	4867f5dd115bd7df14ad66199d632c50aa45e13907c44748704f28695be03e40	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1A3M/rnafm_t12_residue_embeddings.pt
1A4D	0	A	A	1	21	b35ca08f7fd5f7d08720595acfe8f6732757b5d11abb6417542dd559671ebc2b	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1A4D/rnafm_t12_residue_embeddings.pt
1A4D	1	B	B	2	20	de14d2df529c200b6164207af679e110e110fd31ee4825533944f4fbc3b06eac	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1A4D/rnafm_t12_residue_embeddings.pt
1A51	0	A	A	1	41	7e5d37d85ad8f69792e71671b9efb98e05f2786b370989d9bf09a5ae8309d451	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1A51/rnafm_t12_residue_embeddings.pt
1A60	0	A	A	1	44	c6e5e9782f6ecb6fc069bcedfa93325b8a540ed0f6ebfa5177489e9157a54bb8	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1A60/rnafm_t12_residue_embeddings.pt
1A9L	0	A	A	1	38	d276b4f122c80d118deedc0b52181f28be5dd1f4ebff5ac0411ffb400abce660	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1A9L/rnafm_t12_residue_embeddings.pt
1AFX	0	A	A	1	12	58abf3a9a2d77a79d9e4024b8ed0a6c75b5791966e6962682528656e5ded326a	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1AFX/rnafm_t12_residue_embeddings.pt
1AJF	0	A	A	1	18	c06935fb1e38b1895173b8e16eaabea2f52a309d5e973261b537b9141ce778f7	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1AJF/rnafm_t12_residue_embeddings.pt
1AJL	0	A	A	1	12	81a4d18991ecb918524f6b38754c252661211ab669218554a4a399a4cee16230	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1AJL/rnafm_t12_residue_embeddings.pt
1AJL	1	B	B	2	7	5b8f193de989a7d956deb69edaf6ca19e5845e9e54914332db2b5e0bf361349a	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1AJL/rnafm_t12_residue_embeddings.pt
1AJT	0	A	A	1	12	81a4d18991ecb918524f6b38754c252661211ab669218554a4a399a4cee16230	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1AJT/rnafm_t12_residue_embeddings.pt
