pdb_id	seed	sample	ranking_score	prediction_path	reference_path	confidence_path	discovery_issue	evaluation_protocol	evaluation_json	standard_evaluation_json	rigid_rescue_json	standard_eval_status	standard_eval_issue	eval_status	ost_status	eval_issue	rmsd	lddt	tm_score	oligo_gdtts	oligo_gdtha
1MDG	42	0	0.570419430732727	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_42/1mdg/seed_42/predictions/1mdg_sample_0.cif	/storage9920/home/tinghao.xia/pdb_data/1mdg.cif	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_42/1mdg/seed_42/predictions/1mdg_summary_confidence_sample_0.json		unavailable	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1MDG/seed_42/sample_0.json	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1MDG/seed_42/sample_0.json	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/rigid_only_rescue/details/1MDG/seed_42/sample_0.json	missing_output	output JSON does not exist	missing_output		output JSON does not exist					
1MDG	42	1	0.5700366497039795	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_42/1mdg/seed_42/predictions/1mdg_sample_1.cif	/storage9920/home/tinghao.xia/pdb_data/1mdg.cif	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_42/1mdg/seed_42/predictions/1mdg_summary_confidence_sample_1.json		unavailable	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1MDG/seed_42/sample_1.json	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1MDG/seed_42/sample_1.json	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/rigid_only_rescue/details/1MDG/seed_42/sample_1.json	missing_output	output JSON does not exist	missing_output		output JSON does not exist					
1MDG	42	2	0.5648118257522583	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_42/1mdg/seed_42/predictions/1mdg_sample_2.cif	/storage9920/home/tinghao.xia/pdb_data/1mdg.cif	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_42/1mdg/seed_42/predictions/1mdg_summary_confidence_sample_2.json		unavailable	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1MDG/seed_42/sample_2.json	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1MDG/seed_42/sample_2.json	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/rigid_only_rescue/details/1MDG/seed_42/sample_2.json	missing_output	output JSON does not exist	missing_output		output JSON does not exist					
1MDG	42	3	0.5645253658294678	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_42/1mdg/seed_42/predictions/1mdg_sample_3.cif	/storage9920/home/tinghao.xia/pdb_data/1mdg.cif	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_42/1mdg/seed_42/predictions/1mdg_summary_confidence_sample_3.json		unavailable	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1MDG/seed_42/sample_3.json	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1MDG/seed_42/sample_3.json	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/rigid_only_rescue/details/1MDG/seed_42/sample_3.json	missing_output	output JSON does not exist	missing_output		output JSON does not exist					
1MDG	42	4	0.5609217882156372	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_42/1mdg/seed_42/predictions/1mdg_sample_4.cif	/storage9920/home/tinghao.xia/pdb_data/1mdg.cif	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_42/1mdg/seed_42/predictions/1mdg_summary_confidence_sample_4.json		unavailable	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1MDG/seed_42/sample_4.json	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1MDG/seed_42/sample_4.json	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/rigid_only_rescue/details/1MDG/seed_42/sample_4.json	missing_output	output JSON does not exist	missing_output		output JSON does not exist					
1MDG	66	0	0.5686480402946472	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_66/1mdg/seed_66/predictions/1mdg_sample_0.cif	/storage9920/home/tinghao.xia/pdb_data/1mdg.cif	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_66/1mdg/seed_66/predictions/1mdg_summary_confidence_sample_0.json		unavailable	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1MDG/seed_66/sample_0.json	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1MDG/seed_66/sample_0.json	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/rigid_only_rescue/details/1MDG/seed_66/sample_0.json	missing_output	output JSON does not exist	missing_output		output JSON does not exist					
1MDG	66	1	0.5647638440132141	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_66/1mdg/seed_66/predictions/1mdg_sample_1.cif	/storage9920/home/tinghao.xia/pdb_data/1mdg.cif	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_66/1mdg/seed_66/predictions/1mdg_summary_confidence_sample_1.json		unavailable	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1MDG/seed_66/sample_1.json	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1MDG/seed_66/sample_1.json	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/rigid_only_rescue/details/1MDG/seed_66/sample_1.json	missing_output	output JSON does not exist	missing_output		output JSON does not exist					
1MDG	66	2	0.5446630120277405	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_66/1mdg/seed_66/predictions/1mdg_sample_2.cif	/storage9920/home/tinghao.xia/pdb_data/1mdg.cif	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_66/1mdg/seed_66/predictions/1mdg_summary_confidence_sample_2.json		unavailable	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1MDG/seed_66/sample_2.json	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1MDG/seed_66/sample_2.json	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/rigid_only_rescue/details/1MDG/seed_66/sample_2.json	missing_output	output JSON does not exist	missing_output		output JSON does not exist					
1MDG	66	3	0.5338199138641357	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_66/1mdg/seed_66/predictions/1mdg_sample_3.cif	/storage9920/home/tinghao.xia/pdb_data/1mdg.cif	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_66/1mdg/seed_66/predictions/1mdg_summary_confidence_sample_3.json		unavailable	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1MDG/seed_66/sample_3.json	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1MDG/seed_66/sample_3.json	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/rigid_only_rescue/details/1MDG/seed_66/sample_3.json	missing_output	output JSON does not exist	missing_output		output JSON does not exist					
1MDG	66	4	0.5216289758682251	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_66/1mdg/seed_66/predictions/1mdg_sample_4.cif	/storage9920/home/tinghao.xia/pdb_data/1mdg.cif	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_66/1mdg/seed_66/predictions/1mdg_summary_confidence_sample_4.json		unavailable	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1MDG/seed_66/sample_4.json	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1MDG/seed_66/sample_4.json	/storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/rigid_only_rescue/details/1MDG/seed_66/sample_4.json	missing_output	output JSON does not exist	missing_output		output JSON does not exist					
