PDB_ID	STATUS	SPLIT	SPLIT_STATUS	CHAIN_COUNT	RESIDUE_COUNT	OUTPUT_PATH	METHODS	DETAIL
10ZT	GENERATED	test	KEEP_ALL_CHAINS	1	519	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/10ZT/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
10ZU	GENERATED		DROP_NO_EVALUABLE_CHAINS	1	518	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/10ZU/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
11AG	GENERATED		DROP_NO_EVALUABLE_CHAINS	2	1036	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/11AG/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
11EH	GENERATED		DROP_NO_EVALUABLE_CHAINS	1	519	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/11EH/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
12CI	GENERATED	test	KEEP_ALL_CHAINS	2	164	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/12CI/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
12CJ	GENERATED	test	KEEP_ALL_CHAINS	2	154	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/12CJ/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
157D	GENERATED	train	KEPT	2	24	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/157D/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
165D	GENERATED	train	KEPT	2	18	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/165D/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
17RA	GENERATED	train	KEPT	1	21	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/17RA/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
1A3M	GENERATED	train	KEPT	2	27	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1A3M/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
1A4D	GENERATED	train	KEPT	2	41	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1A4D/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
1A51	GENERATED	train	KEPT	1	41	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1A51/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
1A60	GENERATED	train	KEPT	1	44	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1A60/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
1A9L	GENERATED	train	KEPT	1	38	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1A9L/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
1AFX	GENERATED	train	KEPT	1	12	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1AFX/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
1AJF	GENERATED	train	KEPT	1	18	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1AJF/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
1AJL	GENERATED	train	KEPT	2	19	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1AJL/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
1AJT	GENERATED	train	KEPT	2	19	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1AJT/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
1AJU	GENERATED	train	KEPT	1	30	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1AJU/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
1AKX	GENERATED	train	KEPT	1	30	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1AKX/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
1AL5	GENERATED	train	KEPT	2	24	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1AL5/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
1AM0	GENERATED	train	KEPT	1	40	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1AM0/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
1ANR	GENERATED	train	KEPT	1	29	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1ANR/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
1AQO	GENERATED	train	KEPT	1	29	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1AQO/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
1ARJ	GENERATED	train	KEPT	1	29	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1ARJ/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
1ATO	GENERATED	train	KEPT	1	19	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1ATO/rnafm_t12_residue_embeddings.pt	full_sequence	VALID
