QUERY_PDB_ID	QUERY_ENTITY_ID	TARGET_PDB_ID	TARGET_ENTITY_ID	IDENTITY	QUERY_COVERAGE	TARGET_COVERAGE	ALIGNMENT_LENGTH	EVALUE	BITS	ALIGNMENT_SOURCE
8OLS	1	3BWP	1	1.000000	0.990000	0.947000	390	7.566E-217	700	MMSEQS2
8OLS	1	4DS6	1	0.994000	0.992000	0.927000	391	3.682E-214	693	MMSEQS2
8OLS	1	4E8M	1	1.000000	1.000000	1.000000	394	1.525E-219	707	MMSEQS2
8OLS	1	4E8N	1	1.000000	0.997000	1.000000	393	7.211E-219	706	MMSEQS2
8OLS	1	4E8P	1	1.000000	0.997000	1.000000	393	7.211E-219	706	MMSEQS2
8OLS	1	4E8Q	1	1.000000	0.997000	1.000000	393	7.211E-219	706	MMSEQS2
8OLS	1	4E8R	1	1.000000	0.997000	1.000000	393	7.211E-219	706	MMSEQS2
8OLS	1	4E8V	1	1.000000	0.997000	1.000000	393	7.211E-219	706	MMSEQS2
8OLS	1	4FAQ	1	0.997000	0.995000	0.990000	392	1.641E-216	699	MMSEQS2
8OLS	1	4FAU	1	0.997000	0.992000	0.982000	391	7.719E-216	698	MMSEQS2
8OLS	1	4FAX	1	1.000000	0.997000	0.997000	393	7.211E-219	706	MMSEQS2
8OLS	1	4FB0	1	0.997000	0.997000	1.000000	393	3.486E-217	701	MMSEQS2
8OLS	1	5J01	1	0.979000	0.992000	0.933000	391	7.736E-203	663	MMSEQS2
8OLS	1	6T3N	1	0.989000	0.992000	0.982000	391	8.187E-211	684	MMSEQS2
8OLS	1	6T3S	1	0.989000	0.992000	0.982000	391	8.187E-211	684	MMSEQS2
8OLV	1	3BWP	1	1.000000	0.990000	0.947000	390	7.566E-217	700	MMSEQS2
8OLV	1	4DS6	1	0.994000	0.992000	0.927000	391	3.682E-214	693	MMSEQS2
8OLV	1	4E8M	1	1.000000	1.000000	1.000000	394	1.525E-219	707	MMSEQS2
8OLV	1	4E8N	1	1.000000	0.997000	1.000000	393	7.211E-219	706	MMSEQS2
8OLV	1	4E8P	1	1.000000	0.997000	1.000000	393	7.211E-219	706	MMSEQS2
8OLV	1	4E8Q	1	1.000000	0.997000	1.000000	393	7.211E-219	706	MMSEQS2
8OLV	1	4E8R	1	1.000000	0.997000	1.000000	393	7.211E-219	706	MMSEQS2
8OLV	1	4E8V	1	1.000000	0.997000	1.000000	393	7.211E-219	706	MMSEQS2
8OLV	1	4FAQ	1	0.997000	0.995000	0.990000	392	1.641E-216	699	MMSEQS2
8OLV	1	4FAU	1	0.997000	0.992000	0.982000	391	7.719E-216	698	MMSEQS2
8OLV	1	4FAX	1	1.000000	0.997000	0.997000	393	7.211E-219	706	MMSEQS2
8OLV	1	4FB0	1	0.997000	0.997000	1.000000	393	3.486E-217	701	MMSEQS2
8OLV	1	5J01	1	0.979000	0.992000	0.933000	391	7.736E-203	663	MMSEQS2
8OLV	1	6T3N	1	0.989000	0.992000	0.982000	391	8.187E-211	684	MMSEQS2
8OLV	1	6T3S	1	0.989000	0.992000	0.982000	391	8.187E-211	684	MMSEQS2
8OLW	1	3BWP	1	1.000000	0.985000	0.947000	390	1.237E-216	700	MMSEQS2
8OLW	1	4DS6	1	0.997000	0.997000	0.936000	395	2.577E-218	705	MMSEQS2
8OLW	1	4E8M	1	0.997000	0.990000	0.995000	392	2.680E-216	699	MMSEQS2
8OLW	1	4E8N	1	0.997000	0.987000	0.995000	391	1.257E-215	698	MMSEQS2
8OLW	1	4E8P	1	0.997000	0.987000	0.995000	391	1.257E-215	698	MMSEQS2
8OLW	1	4E8Q	1	0.997000	0.987000	0.995000	391	1.257E-215	698	MMSEQS2
8OLW	1	4E8R	1	0.997000	0.987000	0.995000	391	1.257E-215	698	MMSEQS2
8OLW	1	4E8V	1	0.997000	0.987000	0.995000	391	1.257E-215	698	MMSEQS2
8OLW	1	4FAQ	1	1.000000	1.000000	1.000000	396	1.128E-220	711	MMSEQS2
8OLW	1	4FAU	1	1.000000	0.997000	0.992000	395	5.330E-220	709	MMSEQS2
8OLW	1	4FAX	1	0.997000	0.987000	0.992000	391	1.257E-215	698	MMSEQS2
8OLW	1	4FB0	1	0.994000	0.987000	0.995000	391	5.960E-214	693	MMSEQS2
8OLW	1	5J01	1	0.979000	0.987000	0.933000	391	1.199E-202	663	MMSEQS2
8OLW	1	6T3N	1	0.992000	0.997000	0.992000	395	5.890E-215	696	MMSEQS2
8OLW	1	6T3S	1	0.992000	0.997000	0.992000	395	5.890E-215	696	MMSEQS2
8OM0	1	3BWP	1	1.000000	0.990000	0.947000	390	7.566E-217	700	MMSEQS2
8OM0	1	4DS6	1	0.994000	0.992000	0.927000	391	3.682E-214	693	MMSEQS2
8OM0	1	4E8M	1	1.000000	1.000000	1.000000	394	1.525E-219	707	MMSEQS2
8OM0	1	4E8N	1	1.000000	0.997000	1.000000	393	7.211E-219	706	MMSEQS2
8OM0	1	4E8P	1	1.000000	0.997000	1.000000	393	7.211E-219	706	MMSEQS2
8OM0	1	4E8Q	1	1.000000	0.997000	1.000000	393	7.211E-219	706	MMSEQS2
8OM0	1	4E8R	1	1.000000	0.997000	1.000000	393	7.211E-219	706	MMSEQS2
8OM0	1	4E8V	1	1.000000	0.997000	1.000000	393	7.211E-219	706	MMSEQS2
8OM0	1	4FAQ	1	0.997000	0.995000	0.990000	392	1.641E-216	699	MMSEQS2
8OM0	1	4FAU	1	0.997000	0.992000	0.982000	391	7.719E-216	698	MMSEQS2
8OM0	1	4FAX	1	1.000000	0.997000	0.997000	393	7.211E-219	706	MMSEQS2
8OM0	1	4FB0	1	0.997000	0.997000	1.000000	393	3.486E-217	701	MMSEQS2
8OM0	1	5J01	1	0.979000	0.992000	0.933000	391	7.736E-203	663	MMSEQS2
8OM0	1	6T3N	1	0.989000	0.992000	0.982000	391	8.187E-211	684	MMSEQS2
8OM0	1	6T3S	1	0.989000	0.992000	0.982000	391	8.187E-211	684	MMSEQS2
8PFK	1	1XV6	1	0.916667	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
8PFK	1	2Q1R	1	1.000000	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
8PFK	1	4RBY	1	0.916667	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
8PFK	1	4RBZ	1	0.916667	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
8PFK	1	4RC0	1	0.916667	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
8PFK	1	5DO5	1	0.833333	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
8PFK	1	6XUR	1	1.000000	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
8PFK	1	6XUS	1	1.000000	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
8PFK	1	7QUA	1	0.916667	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
8QO4	1	8UYE	1	0.843000	0.859000	0.993000	134	1.069E-38	148	MMSEQS2
8QO4	1	8UYG	1	0.843000	0.859000	0.993000	134	1.069E-38	148	MMSEQS2
8QO4	1	8UYJ	1	0.843000	0.859000	0.993000	134	1.069E-38	148	MMSEQS2
8QO4	1	8UYK	1	0.992000	0.859000	0.993000	134	1.370E-68	237	MMSEQS2
8QO4	1	8UYL	1	0.992000	0.859000	0.993000	134	1.370E-68	237	MMSEQS2
8QO4	1	8UYM	1	0.992000	0.859000	0.993000	134	1.370E-68	237	MMSEQS2
8QO5	1	8UYP	1	0.915000	0.979000	0.993000	142	5.701E-57	202	MMSEQS2
8QO5	1	8UYS	1	1.000000	0.855000	1.000000	124	1.223E-64	224	MMSEQS2
8RUI	1	3BWP	1	1.000000	0.997000	0.947000	390	3.588E-217	700	MMSEQS2
8RUI	1	4DS6	1	0.997000	0.997000	0.924000	390	1.735E-215	696	MMSEQS2
8RUI	1	4E8M	1	1.000000	1.000000	0.992000	391	7.588E-218	702	MMSEQS2
8RUI	1	4E8N	1	1.000000	0.997000	0.992000	390	3.588E-217	700	MMSEQS2
8RUI	1	4E8P	1	1.000000	0.997000	0.992000	390	3.588E-217	700	MMSEQS2
8RUI	1	4E8Q	1	1.000000	0.997000	0.992000	390	3.588E-217	700	MMSEQS2
8RUI	1	4E8R	1	1.000000	0.997000	0.992000	390	3.588E-217	700	MMSEQS2
8RUI	1	4E8V	1	1.000000	0.997000	0.992000	390	3.588E-217	700	MMSEQS2
8RUI	1	4FAQ	1	1.000000	1.000000	0.987000	391	7.588E-218	702	MMSEQS2
8RUI	1	4FAU	1	1.000000	0.997000	0.980000	390	3.588E-217	700	MMSEQS2
8RUI	1	4FAX	1	1.000000	0.997000	0.990000	390	3.588E-217	700	MMSEQS2
8RUI	1	4FB0	1	0.997000	0.997000	0.992000	390	1.735E-215	696	MMSEQS2
8RUI	1	5J01	1	0.979000	1.000000	0.933000	391	3.973E-203	663	MMSEQS2
8RUI	1	6T3N	1	0.992000	0.997000	0.980000	390	3.966E-212	687	MMSEQS2
8RUI	1	6T3S	1	0.992000	0.997000	0.980000	390	3.966E-212	687	MMSEQS2
8RUJ	1	3BWP	1	1.000000	0.997000	0.947000	390	3.588E-217	700	MMSEQS2
8RUJ	1	4DS6	1	0.997000	0.997000	0.924000	390	1.735E-215	696	MMSEQS2
8RUJ	1	4E8M	1	1.000000	1.000000	0.992000	391	7.588E-218	702	MMSEQS2
8RUJ	1	4E8N	1	1.000000	0.997000	0.992000	390	3.588E-217	700	MMSEQS2
8RUJ	1	4E8P	1	1.000000	0.997000	0.992000	390	3.588E-217	700	MMSEQS2
8RUJ	1	4E8Q	1	1.000000	0.997000	0.992000	390	3.588E-217	700	MMSEQS2
8RUJ	1	4E8R	1	1.000000	0.997000	0.992000	390	3.588E-217	700	MMSEQS2
8RUJ	1	4E8V	1	1.000000	0.997000	0.992000	390	3.588E-217	700	MMSEQS2
8RUJ	1	4FAQ	1	1.000000	1.000000	0.987000	391	7.588E-218	702	MMSEQS2
8RUJ	1	4FAU	1	1.000000	0.997000	0.980000	390	3.588E-217	700	MMSEQS2
