PDB_ID	RELEASE_DATE	INITIAL_SPLIT	FINAL_SPLIT	FINAL_STATUS	EXCLUSION_REASON	EVALUATE_CHAIN_IDS	MASKED_CHAIN_IDS	TARGET_DIRECTORY
10ZT	2026-05-27	test	test	KEEP_ALL_CHAINS		A		/storage9920/home/tinghao.xia/Data/test/10zt
10ZU	2026-05-27	test		DROP_NO_EVALUABLE_CHAINS	All RNA chains are masked from evaluation		A	
11AG	2026-05-27	test		DROP_NO_EVALUABLE_CHAINS	All RNA chains are masked from evaluation		A,C	
11EH	2026-05-27	test		DROP_NO_EVALUABLE_CHAINS	All RNA chains are masked from evaluation		A	
12CI	2026-05-13	test	test	KEEP_ALL_CHAINS		A,B		/storage9920/home/tinghao.xia/Data/test/12ci
12CJ	2026-05-13	test	test	KEEP_ALL_CHAINS		A,B		/storage9920/home/tinghao.xia/Data/test/12cj
157D	1994-05-31	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/157d
165D	1994-08-31	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/165d
17RA	1999-04-20	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/17ra
1A3M	1998-04-29	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1a3m
1A4D	1998-04-29	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1a4d
1A51	1998-05-27	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1a51
1A60	1998-05-27	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1a60
1A9L	1998-06-17	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1a9l
1AFX	1997-05-15	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1afx
1AJF	1997-07-07	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1ajf
1AJL	1997-07-07	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1ajl
1AJT	1997-08-20	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1ajt
1AJU	1997-12-17	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1aju
1AKX	1997-11-19	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1akx
1AL5	1997-12-17	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1al5
1AM0	1997-07-23	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1am0
1ANR	1997-01-11	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1anr
1AQO	1998-02-04	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1aqo
1ARJ	1996-11-08	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1arj
1ATO	1997-11-12	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1ato
1ATV	1998-02-25	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1atv
1ATW	1998-02-25	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1atw
1B36	1998-12-23	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1b36
1BAU	1999-04-27	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1bau
1BGZ	1999-01-13	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1bgz
1BJ2	1999-02-02	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1bj2
1BN0	1999-04-27	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1bn0
1BVJ	1998-12-09	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1bvj
1BYJ	1999-10-29	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1byj
1BZ2	1999-04-27	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1bz2
1BZ3	1999-04-27	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1bz3
1BZT	1999-04-27	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1bzt
1BZU	1999-04-27	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1bzu
1C0O	1999-08-31	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1c0o
1C2W	2000-04-10	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1c2w
