ACTION	SPLIT	PDB_ID	DIRECTORY
CREATED	train	17RA	/storage9920/home/tinghao.xia/Data_V1/train/17ra
CREATED	train	1A51	/storage9920/home/tinghao.xia/Data_V1/train/1a51
CREATED	train	1A60	/storage9920/home/tinghao.xia/Data_V1/train/1a60
CREATED	train	1A9L	/storage9920/home/tinghao.xia/Data_V1/train/1a9l
CREATED	train	1AFX	/storage9920/home/tinghao.xia/Data_V1/train/1afx
CREATED	train	1AJF	/storage9920/home/tinghao.xia/Data_V1/train/1ajf
CREATED	train	1AJU	/storage9920/home/tinghao.xia/Data_V1/train/1aju
CREATED	train	1AKX	/storage9920/home/tinghao.xia/Data_V1/train/1akx
CREATED	train	1AM0	/storage9920/home/tinghao.xia/Data_V1/train/1am0
CREATED	train	1ANR	/storage9920/home/tinghao.xia/Data_V1/train/1anr
CREATED	train	1AQO	/storage9920/home/tinghao.xia/Data_V1/train/1aqo
CREATED	train	1ARJ	/storage9920/home/tinghao.xia/Data_V1/train/1arj
CREATED	train	1ATO	/storage9920/home/tinghao.xia/Data_V1/train/1ato
CREATED	train	1ATV	/storage9920/home/tinghao.xia/Data_V1/train/1atv
CREATED	train	1ATW	/storage9920/home/tinghao.xia/Data_V1/train/1atw
CREATED	train	1B36	/storage9920/home/tinghao.xia/Data_V1/train/1b36
CREATED	train	1BGZ	/storage9920/home/tinghao.xia/Data_V1/train/1bgz
CREATED	train	1BN0	/storage9920/home/tinghao.xia/Data_V1/train/1bn0
CREATED	train	1BVJ	/storage9920/home/tinghao.xia/Data_V1/train/1bvj
CREATED	train	1BYJ	/storage9920/home/tinghao.xia/Data_V1/train/1byj
CREATED	train	1BZ2	/storage9920/home/tinghao.xia/Data_V1/train/1bz2
CREATED	train	1BZ3	/storage9920/home/tinghao.xia/Data_V1/train/1bz3
CREATED	train	1BZT	/storage9920/home/tinghao.xia/Data_V1/train/1bzt
CREATED	train	1BZU	/storage9920/home/tinghao.xia/Data_V1/train/1bzu
CREATED	train	1C0O	/storage9920/home/tinghao.xia/Data_V1/train/1c0o
CREATED	train	1C2X	/storage9920/home/tinghao.xia/Data_V1/train/1c2x
CREATED	train	1CQ5	/storage9920/home/tinghao.xia/Data_V1/train/1cq5
CREATED	train	1CQL	/storage9920/home/tinghao.xia/Data_V1/train/1cql
