case_category	pdb_id	seed	sample	ranking_score	time_group	rna_total_length	chain_count_group	lddt	tm_score	gdt_ts	rmsd	prediction_path	reference_path
High local and high global accuracy	4JRT	42	0	0.6309056878089905	pre_or_on_cutoff	24.0	2	0.997	0.981	1.0	0.098	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_4jrt_seed_42/4jrt/seed_42/predictions/4jrt_sample_0.cif	/storage9920/home/tinghao.xia/pdb_data/4jrt.cif
High LDDT but poor global fold	7ELQ	66	0	0.6984471678733826	pre_or_on_cutoff	90.0	2	0.932	0.475	0.481	34.718	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_7elq_seed_66/7elq/seed_66/predictions/7elq_sample_0.cif	/storage9920/home/tinghao.xia/pdb_data/7elq.cif
Low local and poor global accuracy	9LE6	66	0	0.2607916593551636	post_cutoff	3120.0	>=5	0.404	0.116	0.015	96.996	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_9le6_seed_66/9le6/seed_66/predictions/9le6_sample_0.cif	/storage9920/home/tinghao.xia/pdb_data/9le6.cif
Difficult long-RNA target	9LE3	8888	0	0.2613916397094726	post_cutoff	3120.0	>=5	0.404	0.096	0.016	93.022	/storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_9le3_seed_8888/9le3/seed_8888/predictions/9le3_sample_0.cif	/storage9920/home/tinghao.xia/pdb_data/9le3.cif
