QUERY_PDB_ID	QUERY_ENTITY_ID	TARGET_PDB_ID	TARGET_ENTITY_ID	IDENTITY	QUERY_COVERAGE	TARGET_COVERAGE	ALIGNMENT_LENGTH	EVALUE	BITS	ALIGNMENT_SOURCE
36LL	1	3ND3	1	0.812500	1.000000	1.000000	16			SHORT_GLOBAL_FALLBACK
36LL	1	3ND4	1	1.000000	1.000000	1.000000	16			SHORT_GLOBAL_FALLBACK
8FEO	1	3ND4	1	0.937500	1.000000	1.000000	16			SHORT_GLOBAL_FALLBACK
8FEP	1	3ND4	1	0.937500	1.000000	1.000000	16			SHORT_GLOBAL_FALLBACK
8FEQ	1	3ND4	1	0.937500	1.000000	1.000000	16			SHORT_GLOBAL_FALLBACK
8K8B	1	8I44	1	0.842105	1.000000	1.000000	19			SHORT_GLOBAL_FALLBACK
8K8B	1	8I46	1	0.894737	1.000000	1.000000	19			SHORT_GLOBAL_FALLBACK
8OLS	1	3BWP	1	1.000000	0.990000	0.947000	390	9.890E-217	700	MMSEQS2
8OLS	1	4DS6	1	0.994000	0.992000	0.927000	391	4.813E-214	693	MMSEQS2
8OLS	1	4E8M	1	1.000000	1.000000	1.000000	394	1.994E-219	707	MMSEQS2
8OLS	1	4E8N	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8OLS	1	4E8P	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8OLS	1	4E8Q	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8OLS	1	4E8R	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8OLS	1	4E8V	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8OLS	1	4FAQ	1	0.997000	0.995000	0.990000	392	2.146E-216	699	MMSEQS2
8OLS	1	4FAU	1	0.997000	0.992000	0.982000	391	1.009E-215	698	MMSEQS2
8OLS	1	4FAX	1	1.000000	0.997000	0.997000	393	9.426E-219	706	MMSEQS2
8OLS	1	4FB0	1	0.997000	0.997000	1.000000	393	4.557E-217	701	MMSEQS2
8OLS	1	5J01	1	0.979000	0.992000	0.933000	391	1.011E-202	663	MMSEQS2
8OLS	1	6T3N	1	0.989000	0.992000	0.982000	391	1.070E-210	684	MMSEQS2
8OLS	1	6T3S	1	0.989000	0.992000	0.982000	391	1.070E-210	684	MMSEQS2
8OLV	1	3BWP	1	1.000000	0.990000	0.947000	390	9.890E-217	700	MMSEQS2
8OLV	1	4DS6	1	0.994000	0.992000	0.927000	391	4.813E-214	693	MMSEQS2
8OLV	1	4E8M	1	1.000000	1.000000	1.000000	394	1.994E-219	707	MMSEQS2
8OLV	1	4E8N	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8OLV	1	4E8P	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8OLV	1	4E8Q	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8OLV	1	4E8R	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8OLV	1	4E8V	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8OLV	1	4FAQ	1	0.997000	0.995000	0.990000	392	2.146E-216	699	MMSEQS2
8OLV	1	4FAU	1	0.997000	0.992000	0.982000	391	1.009E-215	698	MMSEQS2
8OLV	1	4FAX	1	1.000000	0.997000	0.997000	393	9.426E-219	706	MMSEQS2
8OLV	1	4FB0	1	0.997000	0.997000	1.000000	393	4.557E-217	701	MMSEQS2
8OLV	1	5J01	1	0.979000	0.992000	0.933000	391	1.011E-202	663	MMSEQS2
8OLV	1	6T3N	1	0.989000	0.992000	0.982000	391	1.070E-210	684	MMSEQS2
8OLV	1	6T3S	1	0.989000	0.992000	0.982000	391	1.070E-210	684	MMSEQS2
8OLW	1	3BWP	1	1.000000	0.985000	0.947000	390	1.617E-216	700	MMSEQS2
8OLW	1	4DS6	1	0.997000	0.997000	0.936000	395	3.369E-218	705	MMSEQS2
8OLW	1	4E8M	1	0.997000	0.990000	0.995000	392	3.503E-216	699	MMSEQS2
8OLW	1	4E8N	1	0.997000	0.987000	0.995000	391	1.643E-215	698	MMSEQS2
8OLW	1	4E8P	1	0.997000	0.987000	0.995000	391	1.643E-215	698	MMSEQS2
8OLW	1	4E8Q	1	0.997000	0.987000	0.995000	391	1.643E-215	698	MMSEQS2
8OLW	1	4E8R	1	0.997000	0.987000	0.995000	391	1.643E-215	698	MMSEQS2
8OLW	1	4E8V	1	0.997000	0.987000	0.995000	391	1.643E-215	698	MMSEQS2
8OLW	1	4FAQ	1	1.000000	1.000000	1.000000	396	1.474E-220	711	MMSEQS2
8OLW	1	4FAU	1	1.000000	0.997000	0.992000	395	6.968E-220	709	MMSEQS2
8OLW	1	4FAX	1	0.997000	0.987000	0.992000	391	1.643E-215	698	MMSEQS2
8OLW	1	4FB0	1	0.994000	0.987000	0.995000	391	7.791E-214	693	MMSEQS2
8OLW	1	5J01	1	0.979000	0.987000	0.933000	391	1.567E-202	663	MMSEQS2
8OLW	1	6T3N	1	0.992000	0.997000	0.992000	395	7.699E-215	696	MMSEQS2
8OLW	1	6T3S	1	0.992000	0.997000	0.992000	395	7.699E-215	696	MMSEQS2
8OM0	1	3BWP	1	1.000000	0.990000	0.947000	390	9.890E-217	700	MMSEQS2
8OM0	1	4DS6	1	0.994000	0.992000	0.927000	391	4.813E-214	693	MMSEQS2
8OM0	1	4E8M	1	1.000000	1.000000	1.000000	394	1.994E-219	707	MMSEQS2
8OM0	1	4E8N	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8OM0	1	4E8P	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8OM0	1	4E8Q	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8OM0	1	4E8R	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8OM0	1	4E8V	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8OM0	1	4FAQ	1	0.997000	0.995000	0.990000	392	2.146E-216	699	MMSEQS2
8OM0	1	4FAU	1	0.997000	0.992000	0.982000	391	1.009E-215	698	MMSEQS2
8OM0	1	4FAX	1	1.000000	0.997000	0.997000	393	9.426E-219	706	MMSEQS2
8OM0	1	4FB0	1	0.997000	0.997000	1.000000	393	4.557E-217	701	MMSEQS2
8OM0	1	5J01	1	0.979000	0.992000	0.933000	391	1.011E-202	663	MMSEQS2
8OM0	1	6T3N	1	0.989000	0.992000	0.982000	391	1.070E-210	684	MMSEQS2
8OM0	1	6T3S	1	0.989000	0.992000	0.982000	391	1.070E-210	684	MMSEQS2
8PFK	1	1XV6	1	0.916667	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
8PFK	1	2Q1R	1	1.000000	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
8PFK	1	4RBY	1	0.916667	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
8PFK	1	4RBZ	1	0.916667	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
8PFK	1	4RC0	1	0.916667	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
8PFK	1	5DO5	1	0.833333	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
8PFK	1	6XUR	1	1.000000	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
8PFK	1	6XUS	1	1.000000	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
8PFK	1	7QUA	1	0.916667	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
8QO4	1	8UYE	1	0.843000	0.859000	0.993000	134	1.396E-38	148	MMSEQS2
8QO4	1	8UYG	1	0.843000	0.859000	0.993000	134	1.396E-38	148	MMSEQS2
8QO4	1	8UYJ	1	0.843000	0.859000	0.993000	134	1.396E-38	148	MMSEQS2
8QO4	1	8UYK	1	0.992000	0.859000	0.993000	134	1.789E-68	237	MMSEQS2
8QO4	1	8UYL	1	0.992000	0.859000	0.993000	134	1.789E-68	237	MMSEQS2
8QO4	1	8UYM	1	0.992000	0.859000	0.993000	134	1.789E-68	237	MMSEQS2
8QO5	1	8UYP	1	0.915000	0.979000	0.993000	142	7.446E-57	202	MMSEQS2
8QO5	1	8UYS	1	1.000000	0.855000	1.000000	124	1.597E-64	224	MMSEQS2
8RUI	1	3BWP	1	1.000000	0.997000	0.947000	390	4.690E-217	700	MMSEQS2
8RUI	1	4DS6	1	0.997000	0.997000	0.924000	390	2.268E-215	696	MMSEQS2
8RUI	1	4E8M	1	1.000000	1.000000	0.992000	391	9.919E-218	702	MMSEQS2
8RUI	1	4E8N	1	1.000000	0.997000	0.992000	390	4.690E-217	700	MMSEQS2
8RUI	1	4E8P	1	1.000000	0.997000	0.992000	390	4.690E-217	700	MMSEQS2
8RUI	1	4E8Q	1	1.000000	0.997000	0.992000	390	4.690E-217	700	MMSEQS2
8RUI	1	4E8R	1	1.000000	0.997000	0.992000	390	4.690E-217	700	MMSEQS2
8RUI	1	4E8V	1	1.000000	0.997000	0.992000	390	4.690E-217	700	MMSEQS2
8RUI	1	4FAQ	1	1.000000	1.000000	0.987000	391	9.919E-218	702	MMSEQS2
8RUI	1	4FAU	1	1.000000	0.997000	0.980000	390	4.690E-217	700	MMSEQS2
8RUI	1	4FAX	1	1.000000	0.997000	0.990000	390	4.690E-217	700	MMSEQS2
8RUI	1	4FB0	1	0.997000	0.997000	0.992000	390	2.268E-215	696	MMSEQS2
8RUI	1	5J01	1	0.979000	1.000000	0.933000	391	5.193E-203	663	MMSEQS2
8RUI	1	6T3N	1	0.992000	0.997000	0.980000	390	5.185E-212	687	MMSEQS2
8RUI	1	6T3S	1	0.992000	0.997000	0.980000	390	5.185E-212	687	MMSEQS2
8RUJ	1	3BWP	1	1.000000	0.997000	0.947000	390	4.690E-217	700	MMSEQS2
8RUJ	1	4DS6	1	0.997000	0.997000	0.924000	390	2.268E-215	696	MMSEQS2
8RUJ	1	4E8M	1	1.000000	1.000000	0.992000	391	9.919E-218	702	MMSEQS2
8RUJ	1	4E8N	1	1.000000	0.997000	0.992000	390	4.690E-217	700	MMSEQS2
8RUJ	1	4E8P	1	1.000000	0.997000	0.992000	390	4.690E-217	700	MMSEQS2
8RUJ	1	4E8Q	1	1.000000	0.997000	0.992000	390	4.690E-217	700	MMSEQS2
8RUJ	1	4E8R	1	1.000000	0.997000	0.992000	390	4.690E-217	700	MMSEQS2
8RUJ	1	4E8V	1	1.000000	0.997000	0.992000	390	4.690E-217	700	MMSEQS2
8RUJ	1	4FAQ	1	1.000000	1.000000	0.987000	391	9.919E-218	702	MMSEQS2
8RUJ	1	4FAU	1	1.000000	0.997000	0.980000	390	4.690E-217	700	MMSEQS2
8RUJ	1	4FAX	1	1.000000	0.997000	0.990000	390	4.690E-217	700	MMSEQS2
8RUJ	1	4FB0	1	0.997000	0.997000	0.992000	390	2.268E-215	696	MMSEQS2
8RUJ	1	5J01	1	0.979000	1.000000	0.933000	391	5.193E-203	663	MMSEQS2
8RUJ	1	6T3N	1	0.992000	0.997000	0.980000	390	5.185E-212	687	MMSEQS2
8RUJ	1	6T3S	1	0.992000	0.997000	0.980000	390	5.185E-212	687	MMSEQS2
8RUK	1	3BWP	1	1.000000	0.990000	0.947000	390	9.890E-217	700	MMSEQS2
8RUK	1	4DS6	1	0.994000	0.992000	0.927000	391	4.813E-214	693	MMSEQS2
8RUK	1	4E8M	1	1.000000	1.000000	1.000000	394	1.994E-219	707	MMSEQS2
8RUK	1	4E8N	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8RUK	1	4E8P	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8RUK	1	4E8Q	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8RUK	1	4E8R	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8RUK	1	4E8V	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8RUK	1	4FAQ	1	0.997000	0.995000	0.990000	392	2.146E-216	699	MMSEQS2
8RUK	1	4FAU	1	0.997000	0.992000	0.982000	391	1.009E-215	698	MMSEQS2
8RUK	1	4FAX	1	1.000000	0.997000	0.997000	393	9.426E-219	706	MMSEQS2
8RUK	1	4FB0	1	0.997000	0.997000	1.000000	393	4.557E-217	701	MMSEQS2
8RUK	1	5J01	1	0.979000	0.992000	0.933000	391	1.011E-202	663	MMSEQS2
8RUK	1	6T3N	1	0.989000	0.992000	0.982000	391	1.070E-210	684	MMSEQS2
8RUK	1	6T3S	1	0.989000	0.992000	0.982000	391	1.070E-210	684	MMSEQS2
8RUL	1	3BWP	1	1.000000	0.990000	0.947000	390	9.890E-217	700	MMSEQS2
8RUL	1	4DS6	1	0.994000	0.992000	0.927000	391	4.813E-214	693	MMSEQS2
8RUL	1	4E8M	1	1.000000	1.000000	1.000000	394	1.994E-219	707	MMSEQS2
8RUL	1	4E8N	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8RUL	1	4E8P	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8RUL	1	4E8Q	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8RUL	1	4E8R	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8RUL	1	4E8V	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8RUL	1	4FAQ	1	0.997000	0.995000	0.990000	392	2.146E-216	699	MMSEQS2
8RUL	1	4FAU	1	0.997000	0.992000	0.982000	391	1.009E-215	698	MMSEQS2
8RUL	1	4FAX	1	1.000000	0.997000	0.997000	393	9.426E-219	706	MMSEQS2
8RUL	1	4FB0	1	0.997000	0.997000	1.000000	393	4.557E-217	701	MMSEQS2
8RUL	1	5J01	1	0.979000	0.992000	0.933000	391	1.011E-202	663	MMSEQS2
8RUL	1	6T3N	1	0.989000	0.992000	0.982000	391	1.070E-210	684	MMSEQS2
8RUL	1	6T3S	1	0.989000	0.992000	0.982000	391	1.070E-210	684	MMSEQS2
8RUM	1	3BWP	1	1.000000	0.990000	0.947000	390	9.890E-217	700	MMSEQS2
8RUM	1	4DS6	1	0.994000	0.992000	0.927000	391	4.813E-214	693	MMSEQS2
8RUM	1	4E8M	1	1.000000	1.000000	1.000000	394	1.994E-219	707	MMSEQS2
8RUM	1	4E8N	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8RUM	1	4E8P	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8RUM	1	4E8Q	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8RUM	1	4E8R	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8RUM	1	4E8V	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8RUM	1	4FAQ	1	0.997000	0.995000	0.990000	392	2.146E-216	699	MMSEQS2
8RUM	1	4FAU	1	0.997000	0.992000	0.982000	391	1.009E-215	698	MMSEQS2
8RUM	1	4FAX	1	1.000000	0.997000	0.997000	393	9.426E-219	706	MMSEQS2
8RUM	1	4FB0	1	0.997000	0.997000	1.000000	393	4.557E-217	701	MMSEQS2
8RUM	1	5J01	1	0.979000	0.992000	0.933000	391	1.011E-202	663	MMSEQS2
8RUM	1	6T3N	1	0.989000	0.992000	0.982000	391	1.070E-210	684	MMSEQS2
8RUM	1	6T3S	1	0.989000	0.992000	0.982000	391	1.070E-210	684	MMSEQS2
8RUN	1	3BWP	1	1.000000	0.990000	0.947000	390	9.890E-217	700	MMSEQS2
8RUN	1	4DS6	1	0.994000	0.992000	0.927000	391	4.813E-214	693	MMSEQS2
8RUN	1	4E8M	1	1.000000	1.000000	1.000000	394	1.994E-219	707	MMSEQS2
8RUN	1	4E8N	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8RUN	1	4E8P	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8RUN	1	4E8Q	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8RUN	1	4E8R	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8RUN	1	4E8V	1	1.000000	0.997000	1.000000	393	9.426E-219	706	MMSEQS2
8RUN	1	4FAQ	1	0.997000	0.995000	0.990000	392	2.146E-216	699	MMSEQS2
8RUN	1	4FAU	1	0.997000	0.992000	0.982000	391	1.009E-215	698	MMSEQS2
8RUN	1	4FAX	1	1.000000	0.997000	0.997000	393	9.426E-219	706	MMSEQS2
8RUN	1	4FB0	1	0.997000	0.997000	1.000000	393	4.557E-217	701	MMSEQS2
8RUN	1	5J01	1	0.979000	0.992000	0.933000	391	1.011E-202	663	MMSEQS2
8RUN	1	6T3N	1	0.989000	0.992000	0.982000	391	1.070E-210	684	MMSEQS2
8RUN	1	6T3S	1	0.989000	0.992000	0.982000	391	1.070E-210	684	MMSEQS2
8SKQ	1	1XV6	1	0.833333	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
8TDY	1	3ND4	1	0.937500	1.000000	1.000000	16			SHORT_GLOBAL_FALLBACK
8TDZ	1	3ND4	1	0.937500	1.000000	1.000000	16			SHORT_GLOBAL_FALLBACK
8TE0	1	3ND4	1	0.875000	1.000000	1.000000	16			SHORT_GLOBAL_FALLBACK
8TE2	1	3ND4	1	0.875000	1.000000	1.000000	16			SHORT_GLOBAL_FALLBACK
8TOZ	1	4RZD	1	0.980000	1.000000	1.000000	101	3.335E-50	174	MMSEQS2
8TOZ	1	6XKN	1	0.970000	1.000000	1.000000	101	1.624E-48	169	MMSEQS2
8TOZ	1	6XKO	1	0.970000	1.000000	1.000000	101	1.624E-48	169	MMSEQS2
8U5J	1	6E8U	1	0.918919	1.000000	1.000000	37			SHORT_GLOBAL_FALLBACK
8U5J	1	6PQ7	1	0.918919	1.000000	1.000000	37			SHORT_GLOBAL_FALLBACK
8VPV	1	4RZD	1	0.990000	1.000000	1.000000	101	1.180E-50	174	MMSEQS2
8VPV	1	6XKN	1	0.980000	1.000000	1.000000	101	5.844E-49	170	MMSEQS2
8VPV	1	6XKO	1	0.990000	1.000000	1.000000	101	1.180E-50	174	MMSEQS2
8VQV	1	4XW7	1	1.000000	1.000000	1.000000	64	1.215E-32	116	MMSEQS2
8VQV	1	4XWF	1	1.000000	1.000000	1.000000	64	1.215E-32	116	MMSEQS2
8VVJ	1	4XW7	1	1.000000	1.000000	1.000000	64	1.215E-32	116	MMSEQS2
8VVJ	1	4XWF	1	1.000000	1.000000	1.000000	64	1.215E-32	116	MMSEQS2
8YAM	1	3GCA	1	0.909091	1.000000	1.000000	33			SHORT_GLOBAL_FALLBACK
8YAM	1	3Q50	1	0.909091	1.000000	1.000000	33			SHORT_GLOBAL_FALLBACK
8YAM	1	3Q51	1	0.909091	1.000000	1.000000	33			SHORT_GLOBAL_FALLBACK
8YAM	1	6E1S	1	0.969697	1.000000	1.000000	33			SHORT_GLOBAL_FALLBACK
8YAM	1	6E1T	1	1.000000	1.000000	1.000000	33			SHORT_GLOBAL_FALLBACK
8YAM	1	6E1U	1	0.969697	1.000000	1.000000	33			SHORT_GLOBAL_FALLBACK
8YAM	1	6E1V	1	1.000000	1.000000	1.000000	33			SHORT_GLOBAL_FALLBACK
8YAM	1	6E1W	1	0.969697	1.000000	1.000000	33			SHORT_GLOBAL_FALLBACK
8YAM	1	6VUH	1	0.909091	1.000000	1.000000	33			SHORT_GLOBAL_FALLBACK
8YAM	1	6VUI	1	0.909091	1.000000	1.000000	33			SHORT_GLOBAL_FALLBACK
8YAM	1	7E9E	1	0.969697	1.000000	1.000000	33			SHORT_GLOBAL_FALLBACK
8YAM	1	7E9I	1	0.909091	1.000000	1.000000	33			SHORT_GLOBAL_FALLBACK
8YAN	1	3GCA	1	0.909091	1.000000	1.000000	33			SHORT_GLOBAL_FALLBACK
8YAN	1	3Q50	1	0.909091	1.000000	1.000000	33			SHORT_GLOBAL_FALLBACK
8YAN	1	3Q51	1	0.909091	1.000000	1.000000	33			SHORT_GLOBAL_FALLBACK
8YAN	1	6E1S	1	0.969697	1.000000	1.000000	33			SHORT_GLOBAL_FALLBACK
8YAN	1	6E1T	1	1.000000	1.000000	1.000000	33			SHORT_GLOBAL_FALLBACK
8YAN	1	6E1U	1	0.969697	1.000000	1.000000	33			SHORT_GLOBAL_FALLBACK
