pdb_id	time_group	rna_total_length	chain_count	rank1_seed	rank1_sample	rank1_ranking_score	failure_stage	failure_detail	audit_exclusion_reason	standard_result	standard_command	rescue_attempted	rescue_result	rescue_command	lower_rank_valid_candidate_available	lower_rank_valid_candidate_count	error_log_excerpt
1MDG	pre_or_on_cutoff	6.0	1	101	0	0.5884609222412109	RIGID_GDT	Too few mapped positions for GDT before RMSD serialization	NO_CANDIDATE_HAS_VALID_RMSD	FAILED	/storage9920/home/tinghao.xia/miniconda3/envs/foldbench/bin/ost compare-structures -m /storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_101/1mdg/seed_101/predictions/1mdg_sample_0.cif -r /storage9920/home/tinghao.xia/pdb_data/1mdg.cif -o /storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1MDG/seed_101/sample_0.json --fault-tolerant --min-pep-length 4 --min-nuc-length 4 --lddt --rigid-scores --tm-score --dockq	False	NOT_ATTEMPTED	/storage9920/home/tinghao.xia/miniconda3/envs/foldbench/bin/ost compare-structures -m /storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1mdg_seed_101/1mdg/seed_101/predictions/1mdg_sample_0.cif -r /storage9920/home/tinghao.xia/pdb_data/1mdg.cif -o /storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/rigid_only_rescue/details/1MDG/seed_101/sample_0.json --fault-tolerant --min-pep-length 4 --min-nuc-length 4 --rigid-scores	False	0	return_code=1; OST status is 'FAILURE', expected 'SUCCESS'; stdout=''; stderr='Cleaning up input structures\nComputing chain mapping\nComputing all-atom lDDT\nComputing DockQ\nComputing GDT-TS score\nComputing rigid chain mapping\nException: Window size in GDT algorithm is larger than positions\n' 
1OSU	pre_or_on_cutoff	6.0	1	8888	0	0.0219790451228618	RIGID_GDT	Too few mapped positions for GDT before RMSD serialization	NO_CANDIDATE_HAS_VALID_RMSD	FAILED	/storage9920/home/tinghao.xia/miniconda3/envs/foldbench/bin/ost compare-structures -m /storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1osu_seed_8888/1osu/seed_8888/predictions/1osu_sample_0.cif -r /storage9920/home/tinghao.xia/pdb_data/1osu.cif -o /storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1OSU/seed_8888/sample_0.json --fault-tolerant --min-pep-length 4 --min-nuc-length 4 --lddt --rigid-scores --tm-score --dockq	False	NOT_ATTEMPTED	/storage9920/home/tinghao.xia/miniconda3/envs/foldbench/bin/ost compare-structures -m /storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1osu_seed_8888/1osu/seed_8888/predictions/1osu_sample_0.cif -r /storage9920/home/tinghao.xia/pdb_data/1osu.cif -o /storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/rigid_only_rescue/details/1OSU/seed_8888/sample_0.json --fault-tolerant --min-pep-length 4 --min-nuc-length 4 --rigid-scores	False	0	return_code=1; OST status is 'FAILURE', expected 'SUCCESS'; stdout=''; stderr='Cleaning up input structures\nComputing chain mapping\nComputing all-atom lDDT\nComputing DockQ\nComputing GDT-TS score\nComputing rigid chain mapping\nException: Window size in GDT algorithm is larger than positions\n' 
1P79	pre_or_on_cutoff	6.0	1	101	0	0.0566442683339118	RIGID_GDT	Too few mapped positions for GDT before RMSD serialization	NO_CANDIDATE_HAS_VALID_RMSD	FAILED	/storage9920/home/tinghao.xia/miniconda3/envs/foldbench/bin/ost compare-structures -m /storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1p79_seed_101/1p79/seed_101/predictions/1p79_sample_0.cif -r /storage9920/home/tinghao.xia/pdb_data/1p79.cif -o /storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1P79/seed_101/sample_0.json --fault-tolerant --min-pep-length 4 --min-nuc-length 4 --lddt --rigid-scores --tm-score --dockq	False	NOT_ATTEMPTED	/storage9920/home/tinghao.xia/miniconda3/envs/foldbench/bin/ost compare-structures -m /storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1p79_seed_101/1p79/seed_101/predictions/1p79_sample_0.cif -r /storage9920/home/tinghao.xia/pdb_data/1p79.cif -o /storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/rigid_only_rescue/details/1P79/seed_101/sample_0.json --fault-tolerant --min-pep-length 4 --min-nuc-length 4 --rigid-scores	False	0	return_code=1; OST status is 'FAILURE', expected 'SUCCESS'; stdout=''; stderr='Cleaning up input structures\nComputing chain mapping\nComputing all-atom lDDT\nComputing DockQ\nComputing GDT-TS score\nComputing rigid chain mapping\nException: Window size in GDT algorithm is larger than positions\n' 
1QC0	pre_or_on_cutoff	57.0	4	66	0	0.7462408542633057	CHAIN_MAPPING	OpenStructure 2.8 NumPy integer/boolean index error	NO_CANDIDATE_HAS_VALID_RMSD	FAILED	/storage9920/home/tinghao.xia/miniconda3/envs/foldbench/bin/ost compare-structures -m /storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1qc0_seed_66/1qc0/seed_66/predictions/1qc0_sample_0.cif -r /storage9920/home/tinghao.xia/pdb_data/1qc0.cif -o /storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1QC0/seed_66/sample_0.json --fault-tolerant --min-pep-length 4 --min-nuc-length 4 --lddt --rigid-scores --tm-score --dockq	False	NOT_ATTEMPTED	/storage9920/home/tinghao.xia/miniconda3/envs/foldbench/bin/ost compare-structures -m /storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1qc0_seed_66/1qc0/seed_66/predictions/1qc0_sample_0.cif -r /storage9920/home/tinghao.xia/pdb_data/1qc0.cif -o /storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/rigid_only_rescue/details/1QC0/seed_66/sample_0.json --fault-tolerant --min-pep-length 4 --min-nuc-length 4 --rigid-scores	False	0	return_code=1; OST status is 'FAILURE', expected 'SUCCESS'; stdout=''; stderr='Cleaning up input structures\nComputing chain mapping\nIndexError: arrays used as indices must be of integer (or boolean) type\n' 
1QZA	pre_or_on_cutoff	75.0	1	8888	0	0.1582125872373581	RIGID_GDT	Too few mapped positions for GDT before RMSD serialization	NO_CANDIDATE_HAS_VALID_RMSD	FAILED	/storage9920/home/tinghao.xia/miniconda3/envs/foldbench/bin/ost compare-structures -m /storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1qza_seed_8888/1qza/seed_8888/predictions/1qza_sample_0.cif -r /storage9920/home/tinghao.xia/pdb_data/1qza.cif -o /storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1QZA/seed_8888/sample_0.json --fault-tolerant --min-pep-length 4 --min-nuc-length 4 --lddt --rigid-scores --tm-score --dockq	False	NOT_ATTEMPTED	/storage9920/home/tinghao.xia/miniconda3/envs/foldbench/bin/ost compare-structures -m /storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1qza_seed_8888/1qza/seed_8888/predictions/1qza_sample_0.cif -r /storage9920/home/tinghao.xia/pdb_data/1qza.cif -o /storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/rigid_only_rescue/details/1QZA/seed_8888/sample_0.json --fault-tolerant --min-pep-length 4 --min-nuc-length 4 --rigid-scores	False	0	return_code=1; OST status is 'FAILURE', expected 'SUCCESS'; stdout=''; stderr='Cleaning up input structures\nComputing chain mapping\nComputing all-atom lDDT\nComputing DockQ\nComputing GDT-TS score\nComputing rigid chain mapping\nException: Window size in GDT algorithm is larger than positions\n' 
1QZB	pre_or_on_cutoff	76.0	1	2024	0	0.157618448138237	RIGID_GDT	Too few mapped positions for GDT before RMSD serialization	NO_CANDIDATE_HAS_VALID_RMSD	FAILED	/storage9920/home/tinghao.xia/miniconda3/envs/foldbench/bin/ost compare-structures -m /storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1qzb_seed_2024/1qzb/seed_2024/predictions/1qzb_sample_0.cif -r /storage9920/home/tinghao.xia/pdb_data/1qzb.cif -o /storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1QZB/seed_2024/sample_0.json --fault-tolerant --min-pep-length 4 --min-nuc-length 4 --lddt --rigid-scores --tm-score --dockq	False	NOT_ATTEMPTED	/storage9920/home/tinghao.xia/miniconda3/envs/foldbench/bin/ost compare-structures -m /storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1qzb_seed_2024/1qzb/seed_2024/predictions/1qzb_sample_0.cif -r /storage9920/home/tinghao.xia/pdb_data/1qzb.cif -o /storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/rigid_only_rescue/details/1QZB/seed_2024/sample_0.json --fault-tolerant --min-pep-length 4 --min-nuc-length 4 --rigid-scores	False	0	return_code=1; OST status is 'FAILURE', expected 'SUCCESS'; stdout=''; stderr='Cleaning up input structures\nComputing chain mapping\nComputing all-atom lDDT\nComputing DockQ\nComputing GDT-TS score\nComputing rigid chain mapping\nException: Window size in GDT algorithm is larger than positions\n' 
1T1O	pre_or_on_cutoff	73.0	3	8888	0	0.5534572601318359	RIGID_GDT	Too few mapped positions for GDT before RMSD serialization	NO_CANDIDATE_HAS_VALID_RMSD	FAILED	/storage9920/home/tinghao.xia/miniconda3/envs/foldbench/bin/ost compare-structures -m /storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1t1o_seed_8888/1t1o/seed_8888/predictions/1t1o_sample_0.cif -r /storage9920/home/tinghao.xia/pdb_data/1t1o.cif -o /storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/1T1O/seed_8888/sample_0.json --fault-tolerant --min-pep-length 4 --min-nuc-length 4 --lddt --rigid-scores --tm-score --dockq	False	NOT_ATTEMPTED	/storage9920/home/tinghao.xia/miniconda3/envs/foldbench/bin/ost compare-structures -m /storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_1t1o_seed_8888/1t1o/seed_8888/predictions/1t1o_sample_0.cif -r /storage9920/home/tinghao.xia/pdb_data/1t1o.cif -o /storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/rigid_only_rescue/details/1T1O/seed_8888/sample_0.json --fault-tolerant --min-pep-length 4 --min-nuc-length 4 --rigid-scores	False	0	return_code=1; OST status is 'FAILURE', expected 'SUCCESS'; stdout=''; stderr='Cleaning up input structures\nComputing chain mapping\nComputing all-atom lDDT\nComputing DockQ\nComputing GDT-TS score\nComputing rigid chain mapping\nException: Window size in GDT algorithm is larger than positions\n' 
2AGN	pre_or_on_cutoff	203.0	5	42	0	0.4657778739929199	RIGID_GDT	Too few mapped positions for GDT before RMSD serialization	NO_CANDIDATE_HAS_VALID_RMSD	FAILED	/storage9920/home/tinghao.xia/miniconda3/envs/foldbench/bin/ost compare-structures -m /storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_2agn_seed_42/2agn/seed_42/predictions/2agn_sample_0.cif -r /storage9920/home/tinghao.xia/pdb_data/2agn.cif -o /storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/2AGN/seed_42/sample_0.json --fault-tolerant --min-pep-length 4 --min-nuc-length 4 --lddt --rigid-scores --tm-score --dockq	False	NOT_ATTEMPTED	/storage9920/home/tinghao.xia/miniconda3/envs/foldbench/bin/ost compare-structures -m /storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_2agn_seed_42/2agn/seed_42/predictions/2agn_sample_0.cif -r /storage9920/home/tinghao.xia/pdb_data/2agn.cif -o /storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/rigid_only_rescue/details/2AGN/seed_42/sample_0.json --fault-tolerant --min-pep-length 4 --min-nuc-length 4 --rigid-scores	False	0	return_code=1; OST status is 'FAILURE', expected 'SUCCESS'; stdout=''; stderr='Cleaning up input structures\nComputing chain mapping\nComputing all-atom lDDT\nComputing DockQ\nComputing GDT-TS score\nComputing rigid chain mapping\nException: Window size in GDT algorithm is larger than positions\n' 
2JJA	pre_or_on_cutoff	8.0	1	101	0	0.7092069387435913	RIGID_GDT	Too few mapped positions for GDT before RMSD serialization	NO_CANDIDATE_HAS_VALID_RMSD	FAILED	/storage9920/home/tinghao.xia/miniconda3/envs/foldbench/bin/ost compare-structures -m /storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_2jja_seed_101/2jja/seed_101/predictions/2jja_sample_0.cif -r /storage9920/home/tinghao.xia/pdb_data/2jja.cif -o /storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/2JJA/seed_101/sample_0.json --fault-tolerant --min-pep-length 4 --min-nuc-length 4 --lddt --rigid-scores --tm-score --dockq	False	NOT_ATTEMPTED	/storage9920/home/tinghao.xia/miniconda3/envs/foldbench/bin/ost compare-structures -m /storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_2jja_seed_101/2jja/seed_101/predictions/2jja_sample_0.cif -r /storage9920/home/tinghao.xia/pdb_data/2jja.cif -o /storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/rigid_only_rescue/details/2JJA/seed_101/sample_0.json --fault-tolerant --min-pep-length 4 --min-nuc-length 4 --rigid-scores	False	0	return_code=1; OST status is 'FAILURE', expected 'SUCCESS'; stdout=''; stderr='Cleaning up input structures\nComputing chain mapping\nComputing all-atom lDDT\nComputing DockQ\nComputing GDT-TS score\nComputing rigid chain mapping\nException: Window size in GDT algorithm is larger than positions\n' 
2JXS	pre_or_on_cutoff	21.0	2	66	0	0.4518782794475555	RIGID_GDT	Too few mapped positions for GDT before RMSD serialization	STRICT_RANK1_RMSD_FAILED_BUT_LOWER_CANDIDATE_AVAILABLE	FAILED	/storage9920/home/tinghao.xia/miniconda3/envs/foldbench/bin/ost compare-structures -m /storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_2jxs_seed_66/2jxs/seed_66/predictions/2jxs_sample_0.cif -r /storage9920/home/tinghao.xia/pdb_data/2jxs.cif -o /storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/details/2JXS/seed_66/sample_0.json --fault-tolerant --min-pep-length 4 --min-nuc-length 4 --lddt --rigid-scores --tm-score --dockq	False	NOT_ATTEMPTED	/storage9920/home/tinghao.xia/miniconda3/envs/foldbench/bin/ost compare-structures -m /storage9920/home/tinghao.xia/Json_data/Foldbench_predictions/pred_output_2jxs_seed_66/2jxs/seed_66/predictions/2jxs_sample_0.cif -r /storage9920/home/tinghao.xia/pdb_data/2jxs.cif -o /storage9920/home/tinghao.xia/Json_data/Foldbench_evaluation/rmsd/rigid_only_rescue/details/2JXS/seed_66/sample_0.json --fault-tolerant --min-pep-length 4 --min-nuc-length 4 --rigid-scores	True	2	return_code=1; OST status is 'FAILURE', expected 'SUCCESS'; stdout=''; stderr='Cleaning up input structures\nComputing chain mapping\nComputing all-atom lDDT\nComputing DockQ\nComputing GDT-TS score\nComputing rigid chain mapping\nException: Window size in GDT algorithm is larger than positions\n' 
