pdb_id	candidate_count	valid_candidate_count	failed_candidate_count	rank1_seed	rank1_sample	ranking_score	rank1_rmsd	rank1_valid_rmsd	rank1_eval_status	rank1_evaluation_protocol	candidate_failure_reasons	exclude_from_strict_rank1_rmsd	exclusion_reason
10ZT	25	25	0	66	0	0.149187371134758	37.409	True	SUCCESS	foldbench_full		False	
10ZU	25	25	0	8888	0	0.149761214852333	30.119	True	SUCCESS	foldbench_full		False	
11AG	25	25	0	42	0	0.3655697405338287	45.924	True	SUCCESS	foldbench_full		False	
11EH	25	25	0	42	0	0.1516717672348022	33.005	True	SUCCESS	foldbench_full		False	
12CI	25	25	0	8888	0	0.4732352793216705	32.265	True	SUCCESS	foldbench_full		False	
12CJ	25	25	0	42	0	0.4143780767917633	22.269	True	SUCCESS	foldbench_full		False	
157D	25	25	0	66	0	0.6192812919616699	0.253	True	SUCCESS	foldbench_full		False	
165D	25	25	0	8888	0	0.7444324493408203	0.211	True	SUCCESS	foldbench_full		False	
17RA	25	25	0	66	0	0.0750418007373809	2.753	True	SUCCESS	foldbench_full		False	
1A3M	25	25	0	66	0	0.5897001028060913	3.053	True	SUCCESS	foldbench_full		False	
1A4D	25	25	0	101	0	0.762710690498352	4.881	True	SUCCESS	foldbench_full		False	
1A51	25	25	0	2024	0	0.1480406373739242	5.196	True	SUCCESS	foldbench_full		False	
1A60	25	25	0	101	0	0.1279139518737793	6.659	True	SUCCESS	foldbench_full		False	
1A9L	25	25	0	101	0	0.1059935837984085	12.711	True	SUCCESS	foldbench_full		False	
1AFX	25	25	0	8888	0	0.0070676738396286	2.013	True	SUCCESS	foldbench_full		False	
1AJF	25	25	0	101	0	0.6292111873626709	1.411	True	SUCCESS	foldbench_full		False	
1AJL	25	25	0	42	0	0.1453122794628143	6.536	True	SUCCESS	foldbench_full		False	
1AJT	25	25	0	42	0	0.1452028453350067	7.27	True	SUCCESS	foldbench_full		False	
1AJU	25	25	0	8888	0	0.5106398463249207	4.798	True	SUCCESS	foldbench_full		False	
1AKX	25	25	0	8888	0	0.5103940963745117	4.615	True	SUCCESS	foldbench_full		False	
1AL5	25	25	0	66	0	0.631390392780304	2.578	True	SUCCESS	foldbench_full		False	
1AM0	25	25	0	2024	0	0.8007513284683228	10.199	True	SUCCESS	foldbench_full		False	
1ANR	25	25	0	66	0	0.1166909337043762	5.183	True	SUCCESS	foldbench_full		False	
1AQO	25	25	0	42	0	0.116451658308506	3.489	True	SUCCESS	foldbench_full		False	
