PDB_ID	RELEASE_DATE	INITIAL_SPLIT	RNA_ENTITY_COUNT	RNA_CHAIN_COUNT	RESOLUTION_ANGSTROM
10ZT	2026-05-27	test	1	1	2.9
10ZU	2026-05-27	test	1	1	4.0
11AG	2026-05-27	test	1	2	4.8
11EH	2026-05-27	test	1	1	4.7
12CI	2026-05-13	test	1	2	2.5
12CJ	2026-05-13	test	1	2	2.93
157D	1994-05-31	train	1	2	1.8
165D	1994-08-31	train	1	2	1.55
17RA	1999-04-20	train	1	1	
1A3M	1998-04-29	train	2	2	
1A4D	1998-04-29	train	2	2	
1A51	1998-05-27	train	1	1	
1A60	1998-05-27	train	1	1	
1A9L	1998-06-17	train	1	1	
1AFX	1997-05-15	train	1	1	
1AJF	1997-07-07	train	1	1	
1AJL	1997-07-07	train	2	2	
1AJT	1997-08-20	train	2	2	
1AJU	1997-12-17	train	1	1	
1AKX	1997-11-19	train	1	1	
1AL5	1997-12-17	train	1	2	
1AM0	1997-07-23	train	1	1	
1ANR	1997-01-11	train	1	1	
1AQO	1998-02-04	train	1	1	
1ARJ	1996-11-08	train	1	1	
1ATO	1997-11-12	train	1	1	
1ATV	1998-02-25	train	1	1	
1ATW	1998-02-25	train	1	1	
1B36	1998-12-23	train	1	1	
1BAU	1999-04-27	train	1	2	
1BGZ	1999-01-13	train	1	1	
1BJ2	1999-02-02	train	2	2	
1BN0	1999-04-27	train	1	1	
1BVJ	1998-12-09	train	1	1	
1BYJ	1999-10-29	train	1	1	
1BZ2	1999-04-27	train	1	1	
1BZ3	1999-04-27	train	1	1	
1BZT	1999-04-27	train	1	1	
1BZU	1999-04-27	train	1	1	
1C0O	1999-08-31	train	1	1	
1C2W	2000-04-10	train	1	1	7.5
1C2X	2000-04-10	train	1	1	7.5
1C4L	2000-08-09	train	2	2	
1CQ5	1999-08-23	train	1	1	
1CQL	2000-01-14	train	1	1	
1CSL	2000-02-14	train	2	2	1.6
1D0T	2000-05-24	train	1	1	
1D0U	2000-05-24	train	1	1	
1D4R	1999-12-02	train	2	3	2.0
1DDY	2000-01-01	train	1	4	3.0
1DQF	2000-11-13	train	2	2	2.2
1DQH	2000-11-13	train	2	2	1.7
1DUH	2000-05-08	train	1	1	2.7
1DUQ	2000-05-16	train	2	8	2.1
1E4P	2001-01-16	train	1	1	
1E95	2001-08-23	train	1	1	
1EBQ	1997-07-07	train	1	1	
1EBR	1997-07-07	train	1	1	
1EBS	1997-07-07	train	1	1	
1EHT	1997-12-24	train	1	1	
1EHZ	2000-10-02	train	1	1	1.8
1EI2	2000-03-06	train	1	1	
1EKA	2000-11-13	train	1	2	
1EKD	2000-11-13	train	1	2	
1ELH	1994-01-31	train	2	2	
1ESH	2000-04-24	train	1	1	
1ESY	2000-05-31	train	1	1	
1ET4	2000-11-13	train	1	5	2.3
1EVV	2000-05-01	train	1	1	2.0
1F1T	2000-09-04	train	1	1	2.8
1F27	2000-06-12	train	2	2	1.3
1F5G	2000-06-26	train	1	2	
1F5H	2000-06-26	train	1	2	
1F5U	2000-08-21	train	1	2	
1F6X	2000-10-09	train	1	1	
1F6Z	2000-10-09	train	1	1	
1F78	2000-10-09	train	1	1	
1F79	2000-10-09	train	1	1	
1F7F	2000-10-09	train	1	1	
1F7G	2000-10-09	train	1	1	
1F7H	2000-10-09	train	1	1	
1F7I	2000-10-09	train	1	1	
1F84	2000-11-17	train	1	1	
1F85	2000-11-17	train	1	1	
1F9L	2000-07-26	train	1	1	
1FCW	2000-08-11	train	1	5	17.0
1FEQ	2000-11-22	train	1	1	
1FG0	2000-08-28	train	2	2	2.8
1FHK	2001-03-21	train	1	1	
1FIR	2001-01-17	train	1	1	3.3
1FL8	2000-10-16	train	1	1	
1FMN	1996-07-11	train	1	1	
1FOQ	2000-12-22	train	1	5	20.0
1FQZ	2001-01-17	train	1	1	
1FUF	2001-11-09	train	1	2	1.7
1FYO	2001-03-14	train	1	1	
1FYP	2001-03-14	train	1	1	
1G2J	2000-12-06	train	1	1	1.97
1G3A	2001-08-01	train	1	2	
1GID	1996-12-31	train	1	2	2.5
1GRZ	1998-11-24	train	1	2	5.0
1GUC	1997-02-12	train	1	2	
1H0Q	2003-07-17	train	2	2	
1H1K	2002-09-26	train	6	6	3.5
1HLX	1995-09-15	train	1	1	
1HR2	2001-04-12	train	1	2	2.25
1HS1	2003-09-02	train	1	1	
1HS2	2001-08-29	train	1	1	
1HS3	2003-09-02	train	1	1	
1HS4	2003-09-02	train	1	1	
1HS8	2003-09-02	train	1	1	
1HWQ	2001-05-16	train	1	1	
1I3X	2001-04-04	train	1	1	
1I3Y	2001-04-04	train	1	1	
1I46	2001-04-21	train	1	1	
1I4B	2001-04-21	train	1	1	
1I4C	2001-04-21	train	1	1	
1I7J	2001-09-21	train	1	2	1.19
1I9K	2001-05-30	train	1	4	
1I9V	2001-06-04	train	1	1	2.6
1I9X	2001-09-05	train	1	2	2.0
1IDV	2001-10-05	train	1	1	
1IE1	2001-06-20	train	1	1	
1IE2	2001-06-20	train	1	1	
1IK1	2001-07-18	train	1	1	
1IK5	2001-11-09	train	2	2	1.8
1IKD	1997-04-01	train	1	1	
1J4Y	2002-07-17	train	1	1	
1J6S	2003-08-05	train	1	4	1.4
1J7T	2002-05-18	train	1	2	2.5
1J8G	2001-11-23	train	1	4	0.61
1J9H	2001-10-26	train	1	4	1.4
1JO7	2001-09-19	train	1	1	
1JOX	2002-05-01	train	1	1	
1JP0	2002-05-01	train	1	1	
1JTJ	2002-12-11	train	1	1	
1JTW	2001-12-12	train	1	1	
1JU1	2002-08-23	train	1	2	
1JU7	2002-03-20	train	1	1	
1JUR	2002-01-16	train	1	1	
1JWC	2002-03-20	train	1	1	
1JZC	2003-10-07	train	1	1	
1JZV	2003-11-11	train	2	4	1.7
1K2G	2002-05-08	train	1	1	
1K4A	2001-12-19	train	1	1	
1K4B	2001-12-19	train	1	1	
1K5I	2001-10-17	train	1	1	
1K6G	2001-12-19	train	1	1	
1K6H	2001-12-19	train	1	1	
1K8S	2001-11-14	train	2	2	
1K9W	2001-11-30	train	1	4	2.9
1KAJ	1996-07-11	train	1	1	
1KD3	2003-03-04	train	1	2	1.8
1KD4	2003-03-04	train	1	2	1.85
1KD5	2003-03-04	train	1	2	1.58
1KFO	2001-12-07	train	1	1	1.6
1KH6	2002-04-26	train	1	1	2.8
1KIS	1997-10-15	train	2	2	
1KKA	2002-07-17	train	1	1	
1KKS	2002-03-13	train	1	1	
1KOC	1996-08-17	train	2	2	
1KOD	1996-11-08	train	2	2	
1KOS	1999-10-22	train	1	1	
1KP7	2002-04-10	train	1	1	
1KPD	1997-04-01	train	1	1	
1KPY	2002-01-11	train	1	1	
1KPZ	2002-01-11	train	1	1	
1KXK	2002-03-22	train	1	1	3.0
1L1W	2002-05-22	train	1	1	
1L2X	2002-03-22	train	1	1	1.25
1L3D	2002-03-22	train	1	1	2.85
1L3Z	2003-02-25	train	1	2	2.01
1L8V	2002-08-23	train	1	2	2.8
1LC4	2003-04-08	train	1	2	2.54
1LC6	2002-05-29	train	1	1	
1LDZ	1998-11-25	train	1	1	
1LMV	2002-11-27	train	2	2	
1LNT	2003-06-03	train	2	2	1.7
1LPW	2002-11-27	train	2	2	
1LU3	2002-06-26	train	1	1	16.8
1LUU	2003-09-09	train	1	1	
1LUX	2003-09-09	train	1	1	
1LVJ	2002-12-11	train	1	1	
1M5L	2002-09-18	train	1	1	
1M82	2003-06-03	train	1	1	
1MDG	2003-08-12	train	1	1	1.5
1ME1	2003-08-19	train	1	1	
1MFJ	2002-11-06	train	1	1	
1MFK	2002-11-13	train	1	1	
1MFY	2002-09-18	train	1	1	
1MHK	2002-09-06	train	2	2	2.5
1MIS	1997-07-07	train	1	2	
1MME	1996-02-06	train	2	4	3.1
1MNX	2003-01-14	train	1	1	
1MSY	2003-02-25	train	1	1	1.4
1MT4	2003-01-14	train	1	1	
1MUV	2002-12-18	train	1	2	
1MV1	2002-12-18	train	1	2	
1MV2	2002-12-18	train	1	2	
1MV6	2002-12-18	train	1	2	
1MWG	1997-03-12	train	1	2	
1MWL	2003-02-18	train	1	2	2.4
1MY9	2003-10-07	train	1	2	
1N53	2003-04-29	train	2	2	
1N66	2003-08-19	train	1	1	
1N8X	2003-04-08	train	1	1	
1NA2	2003-01-21	train	1	1	
1NBK	2003-12-03	train	1	1	
1NBR	2003-03-04	train	1	1	
1NBS	2003-02-18	train	1	2	3.15
1NC0	2003-02-25	train	1	1	
1NEM	1999-08-31	train	1	1	
1NJN	2003-02-11	train	1	1	3.7
1NJO	2003-02-11	train	2	2	3.5
1NLC	2003-05-13	train	1	2	1.85
1NTA	2003-05-13	train	2	2	2.9
1NTB	2003-05-13	train	2	2	2.85
1NUJ	2003-08-19	train	2	8	1.8
1NUV	2003-08-19	train	2	8	1.8
1NYI	2004-02-24	train	2	2	2.85
1NZ1	2003-05-13	train	1	1	
1O15	2003-02-18	train	1	1	
1O3Z	2003-05-27	train	1	2	2.65
1O9M	2003-03-27	train	1	2	2.4
1OQ0	2003-05-13	train	1	1	
1OSU	1996-04-04	train	1	1	1.4
1OSW	2003-05-20	train	1	1	
1OW9	2003-05-20	train	1	1	
1P5M	2003-11-04	train	1	1	
1P5N	2003-11-04	train	1	1	
1P5O	2003-11-04	train	1	1	
1P5P	2003-11-04	train	1	1	
1P79	2003-11-04	train	1	1	1.1
1P9X	2003-08-05	train	1	1	3.4
1PBL	1997-07-07	train	1	2	
1PBM	1997-07-07	train	1	2	
1PBR	1997-09-17	train	1	1	
1PJY	2003-08-05	train	1	1	
1Q29	2004-02-24	train	2	2	3.0
1Q75	2003-12-23	train	1	1	
1Q8N	2004-03-23	train	1	1	
1Q93	2003-11-25	train	1	3	2.25
1Q96	2003-11-25	train	1	3	1.75
1Q9A	2003-11-25	train	1	1	1.04
1QBP	1999-11-26	train	1	6	2.1
1QC0	1999-11-11	train	4	4	1.55
1QC8	1999-08-31	train	1	1	
1QCU	1999-11-11	train	2	4	1.2
1QD3	2000-07-12	train	1	1	
1QES	1997-06-05	train	1	2	
1QET	1997-06-05	train	1	2	
1QWA	2003-11-25	train	1	1	
1QWB	2003-11-25	train	1	1	
1QZA	2003-11-04	train	1	1	10.0
1QZB	2003-11-04	train	1	1	9.0
1R2P	2004-02-03	train	1	1	
1R3O	2003-12-23	train	2	4	1.9
1R4H	2004-10-19	train	1	1	
1R7W	2004-05-25	train	1	1	
1R7Z	2004-05-25	train	1	1	
1RAU	1994-01-31	train	1	4	
1RAW	1997-01-27	train	1	1	
1RFR	2004-03-23	train	1	1	
1RHT	1995-06-03	train	1	1	
1RMN	1995-01-26	train	1	1	
1RNA	1991-04-15	train	1	2	2.25
1RNG	1995-12-07	train	1	1	
1RNK	1995-02-27	train	1	1	
1ROQ	2004-05-18	train	1	1	
1RRR	1998-04-22	train	2	2	
1RXA	1996-10-20	train	1	1	2.9
1RXB	1996-08-26	train	1	2	1.8
1S2F	2004-08-31	train	1	1	
1S34	2004-08-31	train	1	1	
1S9L	2004-06-29	train	1	4	
1S9S	2004-04-06	train	1	1	
1SA9	2004-05-18	train	1	5	2.8
1SAQ	2004-05-18	train	1	5	2.7
1SCL	1995-01-26	train	1	1	
1SDR	1995-02-27	train	2	4	2.6
1SLO	1996-12-07	train	1	1	
1SLP	1997-04-21	train	1	1	
1SY4	2004-04-06	train	1	1	
1SYZ	2004-11-09	train	1	1	
1SZY	2004-04-20	train	1	1	
1T0D	2004-06-15	train	2	4	2.2
1T0E	2004-06-15	train	2	2	1.7
1T1O	2004-06-15	train	3	3	12.0
1T28	2004-08-10	train	1	1	
1T4X	2004-08-03	train	1	2	
1TBK	2005-03-01	train	1	1	
1TFN	1997-02-12	train	1	1	
1TJZ	2004-09-28	train	1	1	
1TLR	1997-11-12	train	1	1	
1TN1	1987-01-15	train	1	1	3.0
1TN2	1986-10-24	train	1	1	3.0
1TOB	1997-06-16	train	1	1	
1TRA	1986-07-14	train	1	1	3.0
1TUT	2004-12-28	train	2	2	
1TXS	2004-10-05	train	1	1	
1U2A	1998-03-04	train	1	1	
1U3K	2005-07-12	train	1	1	
1U9S	2004-10-26	train	1	1	2.9
1UTS	2004-02-12	train	1	1	
1UUD	2004-03-15	train	1	1	
1UUI	2004-02-12	train	1	1	
1UUU	1998-02-25	train	1	1	
1VOP	1997-12-24	train	1	1	
1VTQ	2011-07-13	train	1	1	3.0
1WKS	2004-06-22	train	1	1	
1WTS	1999-01-27	train	1	1	
1WTT	1999-01-27	train	1	1	
1WVD	2004-12-21	train	1	2	2.93
1X8W	2004-11-09	train	1	4	3.8
1X9C	2005-11-22	train	4	4	2.19
1X9K	2005-11-22	train	4	4	3.17
1XHP	2004-11-23	train	1	1	
1XJR	2005-02-01	train	1	1	2.7
1XP7	2005-10-18	train	1	2	2.5
1XPE	2005-10-18	train	1	2	1.94
1XPF	2005-10-18	train	1	2	2.3
1XSG	2004-12-28	train	1	1	
1XSH	2004-12-28	train	1	1	
1XST	2004-12-28	train	1	1	
1XSU	2004-12-28	train	1	1	
1XV0	2004-11-09	train	2	2	
1XV6	2005-04-05	train	1	1	
1XWP	2005-02-15	train	1	1	
