QUERY_PDB_ID	QUERY_ENTITY_ID	TARGET_PDB_ID	TARGET_ENTITY_ID	IDENTITY	QUERY_COVERAGE	TARGET_COVERAGE	ALIGNMENT_LENGTH	EVALUE	BITS	ALIGNMENT_SOURCE
21CC	1	2KBP	1	1.000000	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
21CC	1	2M18	1	0.833333	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
21CC	1	3IBK	1	1.000000	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
21CC	1	3MIJ	1	1.000000	1.000000	1.000000	12			SHORT_GLOBAL_FALLBACK
21ET	1	5AY2	1	0.846154	1.000000	1.000000	13			SHORT_GLOBAL_FALLBACK
21ET	1	5AY3	1	0.846154	1.000000	1.000000	13			SHORT_GLOBAL_FALLBACK
21ET	1	5AY4	1	0.846154	1.000000	1.000000	13			SHORT_GLOBAL_FALLBACK
21ET	1	7ECJ	1	0.846154	1.000000	1.000000	13			SHORT_GLOBAL_FALLBACK
21ET	1	7ECK	1	0.846154	1.000000	1.000000	13			SHORT_GLOBAL_FALLBACK
21ET	1	7ECL	1	0.846154	1.000000	1.000000	13			SHORT_GLOBAL_FALLBACK
21ET	1	7EDU	1	0.846154	1.000000	1.000000	13			SHORT_GLOBAL_FALLBACK
21ET	1	8YNO	1	0.846154	1.000000	1.000000	13			SHORT_GLOBAL_FALLBACK
36LC	1	5DHC	1	0.857143	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	5HBX	1	0.857143	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	5HBY	1	0.928571	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	5KRG	1	0.933333	1.000000	1.000000	15			SHORT_GLOBAL_FALLBACK
36LC	1	5L00	1	0.933333	1.000000	1.000000	15			SHORT_GLOBAL_FALLBACK
36LC	1	5UED	1	1.000000	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	5UEE	1	1.000000	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	5UEF	1	1.000000	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	5UEG	1	1.000000	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	5V0H	1	0.933333	1.000000	1.000000	15			SHORT_GLOBAL_FALLBACK
36LC	1	5V0J	1	0.857143	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	5V0K	1	0.928571	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	6C8D	1	1.000000	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	6C8E	1	1.000000	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	6C8I	1	1.000000	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	6C8J	1	1.000000	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	6C8K	1	1.000000	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	6C8L	1	1.000000	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	6C8M	1	0.933333	1.000000	1.000000	15			SHORT_GLOBAL_FALLBACK
36LC	1	6C8M	2	1.000000	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	6C8N	1	0.933333	1.000000	1.000000	15			SHORT_GLOBAL_FALLBACK
36LC	1	6C8O	1	0.933333	1.000000	1.000000	15			SHORT_GLOBAL_FALLBACK
36LC	1	6CAB	1	1.000000	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	6OWL	1	1.000000	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	6U6J	1	0.933333	1.000000	1.000000	15			SHORT_GLOBAL_FALLBACK
36LC	1	6U8U	1	1.000000	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	7KUK	1	1.000000	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	7KUM	1	1.000000	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	7KUN	1	0.928571	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	7KUO	1	1.000000	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
36LC	1	7KUP	1	1.000000	1.000000	1.000000	14			SHORT_GLOBAL_FALLBACK
