ACTION	SPLIT	PDB_ID	DIRECTORY
CREATED	train	157D	/storage9920/home/tinghao.xia/Data/train/157d
CREATED	train	165D	/storage9920/home/tinghao.xia/Data/train/165d
CREATED	train	17RA	/storage9920/home/tinghao.xia/Data/train/17ra
CREATED	train	1A3M	/storage9920/home/tinghao.xia/Data/train/1a3m
CREATED	train	1A4D	/storage9920/home/tinghao.xia/Data/train/1a4d
CREATED	train	1A51	/storage9920/home/tinghao.xia/Data/train/1a51
CREATED	train	1A60	/storage9920/home/tinghao.xia/Data/train/1a60
CREATED	train	1A9L	/storage9920/home/tinghao.xia/Data/train/1a9l
CREATED	train	1AFX	/storage9920/home/tinghao.xia/Data/train/1afx
CREATED	train	1AJF	/storage9920/home/tinghao.xia/Data/train/1ajf
CREATED	train	1AJL	/storage9920/home/tinghao.xia/Data/train/1ajl
CREATED	train	1AJT	/storage9920/home/tinghao.xia/Data/train/1ajt
CREATED	train	1AJU	/storage9920/home/tinghao.xia/Data/train/1aju
CREATED	train	1AKX	/storage9920/home/tinghao.xia/Data/train/1akx
CREATED	train	1AL5	/storage9920/home/tinghao.xia/Data/train/1al5
CREATED	train	1AM0	/storage9920/home/tinghao.xia/Data/train/1am0
CREATED	train	1ANR	/storage9920/home/tinghao.xia/Data/train/1anr
CREATED	train	1AQO	/storage9920/home/tinghao.xia/Data/train/1aqo
CREATED	train	1ARJ	/storage9920/home/tinghao.xia/Data/train/1arj
CREATED	train	1ATO	/storage9920/home/tinghao.xia/Data/train/1ato
CREATED	train	1ATV	/storage9920/home/tinghao.xia/Data/train/1atv
CREATED	train	1ATW	/storage9920/home/tinghao.xia/Data/train/1atw
CREATED	train	1B36	/storage9920/home/tinghao.xia/Data/train/1b36
CREATED	train	1BAU	/storage9920/home/tinghao.xia/Data/train/1bau
CREATED	train	1BGZ	/storage9920/home/tinghao.xia/Data/train/1bgz
CREATED	train	1BJ2	/storage9920/home/tinghao.xia/Data/train/1bj2
CREATED	train	1BN0	/storage9920/home/tinghao.xia/Data/train/1bn0
CREATED	train	1BVJ	/storage9920/home/tinghao.xia/Data/train/1bvj
CREATED	train	1BYJ	/storage9920/home/tinghao.xia/Data/train/1byj
CREATED	train	1BZ2	/storage9920/home/tinghao.xia/Data/train/1bz2
CREATED	train	1BZ3	/storage9920/home/tinghao.xia/Data/train/1bz3
CREATED	train	1BZT	/storage9920/home/tinghao.xia/Data/train/1bzt
CREATED	train	1BZU	/storage9920/home/tinghao.xia/Data/train/1bzu
CREATED	train	1C0O	/storage9920/home/tinghao.xia/Data/train/1c0o
CREATED	train	1C2W	/storage9920/home/tinghao.xia/Data/train/1c2w
CREATED	train	1C2X	/storage9920/home/tinghao.xia/Data/train/1c2x
CREATED	train	1C4L	/storage9920/home/tinghao.xia/Data/train/1c4l
CREATED	train	1CQ5	/storage9920/home/tinghao.xia/Data/train/1cq5
CREATED	train	1CQL	/storage9920/home/tinghao.xia/Data/train/1cql
CREATED	train	1CSL	/storage9920/home/tinghao.xia/Data/train/1csl
CREATED	train	1D0T	/storage9920/home/tinghao.xia/Data/train/1d0t
CREATED	train	1D0U	/storage9920/home/tinghao.xia/Data/train/1d0u
CREATED	train	1D4R	/storage9920/home/tinghao.xia/Data/train/1d4r
CREATED	train	1DDY	/storage9920/home/tinghao.xia/Data/train/1ddy
CREATED	train	1DQF	/storage9920/home/tinghao.xia/Data/train/1dqf
CREATED	train	1DQH	/storage9920/home/tinghao.xia/Data/train/1dqh
CREATED	train	1DUH	/storage9920/home/tinghao.xia/Data/train/1duh
CREATED	train	1DUQ	/storage9920/home/tinghao.xia/Data/train/1duq
CREATED	train	1E4P	/storage9920/home/tinghao.xia/Data/train/1e4p
CREATED	train	1E95	/storage9920/home/tinghao.xia/Data/train/1e95
CREATED	train	1EBQ	/storage9920/home/tinghao.xia/Data/train/1ebq
CREATED	train	1EBR	/storage9920/home/tinghao.xia/Data/train/1ebr
CREATED	train	1EBS	/storage9920/home/tinghao.xia/Data/train/1ebs
CREATED	train	1EHT	/storage9920/home/tinghao.xia/Data/train/1eht
CREATED	train	1EHZ	/storage9920/home/tinghao.xia/Data/train/1ehz
CREATED	train	1EI2	/storage9920/home/tinghao.xia/Data/train/1ei2
CREATED	train	1EKA	/storage9920/home/tinghao.xia/Data/train/1eka
